# lemma(1sg.pres)	V;1;SG;IND;PRS	V;2;SG;IND;PRS	V;3;SG;IND;PRS	V;1;PL;IND;PRS	V;2;PL;IND;PRS	V;3;PL;IND;PRS	V;1;SG;IND;IPFV	V;2;SG;IND;IPFV	V;3;SG;IND;IPFV	V;1;PL;IND;IPFV	V;2;PL;IND;IPFV	V;3;PL;IND;IPFV	V;1;SG;IND;PST	V;2;SG;IND;PST	V;3;SG;IND;PST	V;1;PL;IND;PST	V;2;PL;IND;PST	V;3;PL;IND;PST	V;1;SG;ADM;PRS	V;2;SG;ADM;PRS	V;3;SG;ADM;PRS	V;1;PL;ADM;PRS	V;2;PL;ADM;PRS	V;3;PL;ADM;PRS	V;1;SG;ADM;IPFV	V;2;SG;ADM;IPFV	V;3;SG;ADM;IPFV	V;1;PL;ADM;IPFV	V;2;PL;ADM;IPFV	V;3;PL;ADM;IPFV	V;2;SG;IMP	V;2;PL;IMP	V;V.PTCP  ("-" = productive -oj default)
shpërfill	shpërfill	shpërfill	shpërfill	shpërfillim	shpërfillni	shpërfillin	shpërfillja	shpërfillje	shpërfillte	shpërfillnim	shpërfillnit	shpërfillnin	shpërfilla	shpërfille	shpërfilli	shpërfillëm	shpërfillët	shpërfillën	shpërfillkam	shpërfillke	shpërfillka	shpërfillkemi	shpërfillkeni	shpërfillkan	shpërfillkësha	shpërfillkëshe	shpërfillkësh	shpërfillkëshim	shpërfillkëshit	shpërfillkëshin	shpërfill	shpërfillni	shpërfillur
shqep	shqep	shqep	shqep	shqepim	shqepni	shqepin	shqepja	shqepje	shqepte	shqepnim	shqepnit	shqepnin	shqepa	shqepe	shqepi	shqepëm	shqepët	shqepën	shqepkam	shqepke	shqepka	shqepkemi	shqepkeni	shqepkan	shqepkësha	shqepkëshe	shqepkësh	shqepkëshim	shqepkëshit	shqepkëshin	shqep	shqepni	shqepur
shqerr	shqerr	shqerr	shqerr	shqerrim	shqerrni	shqerrin	shqirja	shqirje	shqirte	shqirnim	shqirnit	shqirnin	shqora	shqore	shqori	shqorëm	shqorët	shqorën	shqerrkam	shqerrke	shqerrka	shqerrkemi	shqerrkeni	shqerrkan	shqerrkësha	shqerrkëshe	shqerrkësh	shqerrkëshim	shqerrkëshit	shqerrkëshin	shqir	shqirni	shqerrë
shqetësohem	shqetësohem	shqetësohesh	shqetësohet	shqetësohemi	shqetësoheni	shqetësohen	shqetësohesha	shqetësoheshe	shqetësohej	shqetësoheshim	shqetësoheshit	shqetësoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	shqetësohu	shqetësohuni	shqetësuar
shqim	shqim	shqim	shqim	shqimim	shqimni	shqimin	shqimja	shqimje	shqimte	shqimnim	shqimnit	shqimnin	shqima	shqime	shqimi	shqimëm	shqimët	shqimën	shqimkam	shqimke	shqimka	shqimkemi	shqimkeni	shqimkan	shqimkësha	shqimkëshe	shqimkësh	shqimkëshim	shqimkëshit	shqimkëshin	shqim	shqimni	shqimur
shqipohem	shqipohem	shqipohesh	shqipohet	shqipohemi	shqipoheni	shqipohen	shqipohesha	shqipoheshe	shqipohej	shqipoheshim	shqipoheshit	shqipoheshin	shqipova	shqipove	shqipoi	shqipuam	shqipuat	shqipuan	shqipuakam	shqipuake	shqipuaka	shqipuakemi	shqipuakeni	shqipuakan	shqipuakësha	shqipuakëshe	shqipuakësh	shqipuakëshim	shqipuakëshit	shqipuakëshin	shqipo	shqipohuni	shqipuar
shqipohet	shqipohem	shqipohesh	shqipohet	shqipohemi	shqipoheni	shqipohen	shqipohesha	shqipoheshe	shqipohej	shqipoheshim	shqipoheshit	shqipoheshin	shqipova	shqipove	shqipoi	shqipuam	shqipuat	shqipuan	shqipuakam	shqipuake	shqipuaka	shqipuakemi	shqipuakeni	shqipuakan	shqipuakësha	shqipuakëshe	shqipuakësh	shqipuakëshim	shqipuakëshit	shqipuakëshin	shqipo	shqipohuni	shqipuar
shqipon	shqipohem	shqipohesh	shqipohet	shqipohemi	shqipoheni	shqipohen	shqipohesha	shqipoheshe	shqipohej	shqipoheshim	shqipoheshit	shqipoheshin	shqipova	shqipove	shqipoi	shqipuam	shqipuat	shqipuan	shqipuakam	shqipuake	shqipuaka	shqipuakemi	shqipuakeni	shqipuakan	shqipuakësha	shqipuakëshe	shqipuakësh	shqipuakëshim	shqipuakëshit	shqipuakëshin	shqipo	shqipohuni	shqipuar
shqiptohem	shqiptohem	shqiptohesh	shqiptohet	shqiptohemi	shqiptoheni	shqiptohen	shqiptohesha	shqiptoheshe	shqiptohej	shqiptoheshim	shqiptoheshit	shqiptoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	shqiptohu	shqiptohuni	shqiptuar
shqit	shqit	shqit	shqit	shqitim	shqitni	shqitin	shqitja	shqitje	shqitte	shqitnim	shqitnit	shqitnin	shqita	shqite	shqiti	shqitëm	shqitët	shqitën	shqitkam	shqitke	shqitka	shqitkemi	shqitkeni	shqitkan	shqitkësha	shqitkëshe	shqitkësh	shqitkëshim	shqitkëshit	shqitkëshin	shqit	shqitni	shqitur
shqitem	shqitem	shqitesh	shqitet	shqitemi	shqiteni	shqiten	shqitesha	shqiteshe	shqitej	shqiteshim	shqiteshit	shqiteshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	shqitu	shqituni	shqitur
shquaj	shquaj	shquan	shquan	shquajmë	shquani	shquajnë	shquaja	shquaje	shquante	shquanim	shquanit	shquanin	shqova	shqove	shqoi	shquam	shquat	shquan	shquakam	shquake	shquaka	shquakemi	shquakeni	shquakan	shquakësha	shquakëshe	shquakësh	shquakëshim	shquakëshit	shquakëshin	shquaj	shquani	shquar
shtang	shtang	shtang	shtang	shtangim	shtangni	shtangin	shtangja	shtangje	shtangte	shtangnim	shtangnit	shtangnin	shtanga	shtange	shtangu	shtangëm	shtangët	shtangën	shtangkam	shtangke	shtangka	shtangkemi	shtangkeni	shtangkan	shtangkësha	shtangkëshe	shtangkësh	shtangkëshim	shtangkëshit	shtangkëshin	shtang	shtangni	shtangur
shter	shter	shter	shter	shterim	shterni	shterin	shterja	shterje	shterte	shternim	shternit	shternin	shtera	shtere	shteri	shterëm	shterët	shterën	shterkam	shterke	shterka	shterkemi	shterkeni	shterkan	shterkësha	shterkëshe	shterkësh	shterkëshim	shterkëshit	shterkëshin	shter	shterni	shterur
shtir	shtir	shtir	shtir	shtirim	shtirni	shtirin	shtirja	shtirje	shtirte	shtirnim	shtirnit	shtirnin	shtira	shtire	shtiri	shtirëm	shtirët	shtirën	shtirkam	shtirke	shtirka	shtirkemi	shtirkeni	shtirkan	shtirkësha	shtirkëshe	shtirkësh	shtirkëshim	shtirkëshit	shtirkëshin	shtir	shtirni	shtirur
shtohem	shtohem	shtohesh	shtohet	shtohemi	shtoheni	shtohen	shtohesha	shtoheshe	shtohej	shtoheshim	shtoheshit	shtoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	shtohu	shtohuni	shtuar
shtrydh	shtrydh	shtrydh	shtrydh	shtrydhim	shtrydhni	shtrydhin	shtrydhja	shtrydhje	shtrydhte	shtrydhnim	shtrydhnit	shtrydhnin	shtrydha	shtrydhe	shtrydhi	shtrydhëm	shtrydhët	shtrydhën	shtrydhkam	shtrydhke	shtrydhka	shtrydhkemi	shtrydhkeni	shtrydhkan	shtrydhkësha	shtrydhkëshe	shtrydhkësh	shtrydhkëshim	shtrydhkëshit	shtrydhkëshin	shtrydh	shtrydhni	shtrydhur
shtyp	shtyp	shtyp	shtyp	shtypim	shtypni	shtypin	shtypja	shtypje	shtypte	shtypnim	shtypnit	shtypnin	shtypa	shtype	shtypi	shtypëm	shtypët	shtypën	shtypkam	shtypke	shtypka	shtypkemi	shtypkeni	shtypkan	shtypkësha	shtypkëshe	shtypkësh	shtypkëshim	shtypkëshit	shtypkëshin	shtyp	shtypni	shtypur
shuaj	shuaj	shuaj	shuaj	shuajim	shuajni	shuajin	shuajja	shuajje	shuajte	shuajnim	shuajnit	shuajnin	shuajta	shuajte	shuajti	shuajtëm	shuajtët	shuajtën	shuajtkam	shuajtke	shuajtka	shuajtkemi	shuajtkeni	shuajtkan	shuajtkësha	shuajtkëshe	shuajtkësh	shuajtkëshim	shuajtkëshit	shuajtkëshin	shuaj	shuajni	shuajtur
shuk	shuk	shuk	shuk	shukim	shukni	shukin	shukja	shukje	shukte	shuknim	shuknit	shuknin	shuka	shuke	shuku	shukëm	shukët	shukën	shukkam	shukke	shukka	shukkemi	shukkeni	shukkan	shukkësha	shukkëshe	shukkësh	shukkëshim	shukkëshit	shukkëshin	shuk	shukni	shukur
shurdh	shurdh	shurdh	shurdh	shurdhim	shurdhni	shurdhin	shurdhja	shurdhje	shurdhte	shurdhnim	shurdhnit	shurdhnin	shurdha	shurdhe	shurdhi	shurdhëm	shurdhët	shurdhën	shurdhkam	shurdhke	shurdhka	shurdhkemi	shurdhkeni	shurdhkan	shurdhkësha	shurdhkëshe	shurdhkësh	shurdhkëshim	shurdhkëshit	shurdhkëshin	shurdh	shurdhni	shurdhur
shurrohem	shurrohem	shurrohesh	shurrohet	shurrohemi	shurroheni	shurrohen	shurrohesha	shurroheshe	shurrohej	shurroheshim	shurroheshit	shurroheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	shurrohu	shurrohuni	shurruar
shërbej	shërbej	shërben	shërben	shërbejmë	shërbeni	shërbejnë	shërbeja	shërbeje	shërbente	shërbenim	shërbenit	shërbenin	shërbeva	shërbeve	shërbeu	shërbyem	shërbyet	shërbyen	shërbyekam	shërbyeke	shërbyeka	shërbyekemi	shërbyekeni	shërbyekan	shërbyekësha	shërbyekëshe	shërbyekësh	shërbyekëshim	shërbyekëshit	shërbyekëshin	shërbe	shërbeni	shërbyer
shëtit	shëtit	shëtit	shëtit	shëtitim	shëtitni	shëtitin	shëtitja	shëtitje	shëtitte	shëtitnim	shëtitnit	shëtitnin	shëtita	shëtite	shëtiti	shëtitëm	shëtitët	shëtitën	shëtitkam	shëtitke	shëtitka	shëtitkemi	shëtitkeni	shëtitkan	shëtitkësha	shëtitkëshe	shëtitkësh	shëtitkëshim	shëtitkëshit	shëtitkëshin	shëtit	shëtitni	shëtitur
sjell	sjell	sjell	sjell	sjellim	sillni	sjellin	sillja	sillje	sillte	sillnim	sillnit	sillnin	solla	solle	solli	sollëm	sollët	sollën	sjellkam	sjellke	sjellka	sjellkemi	sjellkeni	sjellkan	sjellkësha	sjellkëshe	sjellkësh	sjellkëshim	sjellkëshit	sjellkëshin	sill	sillni	sjellur
skalit	skalit	skalit	skalit	skalitim	skalitni	skalitin	skalitja	skalitje	skalitte	skalitnim	skalitnit	skalitnin	skalita	skalite	skaliti	skalitëm	skalitët	skalitën	skalitkam	skalitke	skalitka	skalitkemi	skalitkeni	skalitkan	skalitkësha	skalitkëshe	skalitkësh	skalitkëshim	skalitkëshit	skalitkëshin	skalit	skalitni	skalitur
skuq	skuq	skuq	skuq	skuqim	skuqni	skuqin	skuqja	skuqje	skuqte	skuqnim	skuqnit	skuqnin	skuqa	skuqe	skuqi	skuqëm	skuqët	skuqën	skuqkam	skuqke	skuqka	skuqkemi	skuqkeni	skuqkan	skuqkësha	skuqkëshe	skuqkësh	skuqkëshim	skuqkëshit	skuqkëshin	skuq	skuqni	skuqur
sodit	sodit	sodit	sodit	soditim	soditni	soditin	soditja	soditje	soditte	soditnim	soditnit	soditnin	sodita	sodite	soditi	soditëm	soditët	soditën	soditkam	soditke	soditka	soditkemi	soditkeni	soditkan	soditkësha	soditkëshe	soditkësh	soditkëshim	soditkëshit	soditkëshin	sodit	soditni	soditur
sodomizohem	sodomizohem	sodomizohesh	sodomizohet	sodomizohemi	sodomizoheni	sodomizohen	sodomizohesha	sodomizoheshe	sodomizohej	sodomizoheshim	sodomizoheshit	sodomizoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sodomizohu	sodomizohuni	sodomizuar
sos	sos	sos	sos	sosim	sosni	sosin	sosja	sosje	soste	sosnim	sosnit	sosnin	sosa	sose	sosi	sosëm	sosët	sosën	soskam	soske	soska	soskemi	soskeni	soskan	soskësha	soskëshe	soskësh	soskëshim	soskëshit	soskëshin	sos	sosni	sosur
spikat	spikat	spikat	spikat	spikatim	spikatni	spikatin	spikatja	spikatje	spikatte	spikatnim	spikatnit	spikatnin	spikata	spikate	spikati	spikatëm	spikatët	spikatën	spikatkam	spikatke	spikatka	spikatkemi	spikatkeni	spikatkan	spikatkësha	spikatkëshe	spikatkësh	spikatkëshim	spikatkëshit	spikatkëshin	spikat	spikatni	spikatur
sqaq	sqaq	sqaq	sqaq	sqaqim	sqaqni	sqaqin	sqaqja	sqaqje	sqaqte	sqaqnim	sqaqnit	sqaqnin	sqaqa	sqaqe	sqaqi	sqaqëm	sqaqët	sqaqën	sqaqkam	sqaqke	sqaqka	sqaqkemi	sqaqkeni	sqaqkan	sqaqkësha	sqaqkëshe	sqaqkësh	sqaqkëshim	sqaqkëshit	sqaqkëshin	sqaq	sqaqni	sqaqur
stepem	stepem	stepesh	stepet	stepemi	stepeni	stepen	stepesha	stepeshe	stepej	stepeshim	stepeshit	stepeshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	stepu	stepuni	stepur
stopohem	stopohem	stopohesh	stopohet	stopohemi	stopoheni	stopohen	stopohesha	stopoheshe	stopohej	stopoheshim	stopoheshit	stopoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	stopohu	stopohuni	stopuar
stërvis	stërvit	stërvit	stërvit	stërvitim	stërvitni	stërvitin	stërvitja	stërvitje	stërvitte	stërvitnim	stërvitnit	stërvitnin	stërvita	stërvite	stërviti	stërvitëm	stërvitët	stërvitën	stërvitkam	stërvitke	stërvitka	stërvitkemi	stërvitkeni	stërvitkan	stërvitkësha	stërvitkëshe	stërvitkësh	stërvitkëshim	stërvitkëshit	stërvitkëshin	stërvit	stërvitni	stërvitur
stërvit	stërvit	stërvit	stërvit	stërvitim	stërvitni	stërvitin	stërvitja	stërvitje	stërvitte	stërvitnim	stërvitnit	stërvitnin	stërvita	stërvite	stërviti	stërvitëm	stërvitët	stërvitën	stërvitkam	stërvitke	stërvitka	stërvitkemi	stërvitkeni	stërvitkan	stërvitkësha	stërvitkëshe	stërvitkësh	stërvitkëshim	stërvitkëshit	stërvitkëshin	stërvit	stërvitni	stërvitur
sulem	sulem	sulesh	sulet	sulemi	suleni	sulen	sulesha	suleshe	sulej	suleshim	suleshit	suleshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sulu	suluni	sulur
sulmohem	sulmohem	sulmohesh	sulmohet	sulmohemi	sulmoheni	sulmohen	sulmohesha	sulmoheshe	sulmohej	sulmoheshim	sulmoheshit	sulmoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	sulmohu	sulmohuni	sulmuar
sëmur	sëmur	sëmur	sëmur	sëmurim	sëmurni	sëmurin	sëmurja	sëmurje	sëmurte	sëmurnim	sëmurnit	sëmurnin	sëmura	sëmure	sëmuri	sëmurëm	sëmurët	sëmurën	sëmurkam	sëmurke	sëmurka	sëmurkemi	sëmurkeni	sëmurkan	sëmurkësha	sëmurkëshe	sëmurkësh	sëmurkëshim	sëmurkëshit	sëmurkëshin	sëmur	sëmurni	sëmurur
takohem	takohem	takohesh	takohet	takohemi	takoheni	takohen	takohesha	takoheshe	takohej	takoheshim	takoheshit	takoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	takohu	takohuni	takuar
tall	tall	tall	tall	tallim	tallni	tallin	tallja	tallje	tallte	tallnim	tallnit	tallnin	talla	talle	talli	tallëm	tallët	tallën	tallkam	tallke	tallka	tallkemi	tallkeni	tallkan	tallkësha	tallkëshe	tallkësh	tallkëshim	tallkëshit	tallkëshin	tall	tallni	tallur
ter	ter	ter	ter	terim	terni	terin	terja	terje	terte	ternim	ternit	ternin	tera	tere	teri	terëm	terët	terën	terkam	terke	terka	terkemi	terkeni	terkan	terkësha	terkëshe	terkësh	terkëshim	terkëshit	terkëshin	ter	terni	terur
thaj	thaj	than	than	thajmë	thani	thajnë	thaja	thaje	thante	thanim	thanit	thanin	thava	thave	thau	thamë	thatë	thanë	thakam	thake	thaka	thakemi	thakeni	thakan	thakësha	thakëshe	thakësh	thakëshim	thakëshit	thakëshin	thaj	thani	tharë
thar	thar	thar	thar	tharim	tharni	tharin	tharja	tharje	tharte	tharnim	tharnit	tharnin	thara	thare	thari	tharëm	tharët	tharën	tharkam	tharke	tharka	tharkemi	tharkeni	tharkan	tharkësha	tharkëshe	tharkësh	tharkëshim	tharkëshit	tharkëshin	thar	tharni	tharur
tharb	tharb	tharb	tharb	tharbim	tharbni	tharbin	tharbja	tharbje	tharbte	tharbnim	tharbnit	tharbnin	tharba	tharbe	tharbi	tharbëm	tharbët	tharbën	tharbkam	tharbke	tharbka	tharbkemi	tharbkeni	tharbkan	tharbkësha	tharbkëshe	tharbkësh	tharbkëshim	tharbkëshit	tharbkëshin	tharb	tharbni	tharbur
thek	thek	thek	thek	thekim	thekni	thekin	thekja	thekje	thekte	theknim	theknit	theknin	theka	theke	theki	thekëm	thekët	thekën	thekkam	thekke	thekka	thekkemi	thekkeni	thekkan	thekkësha	thekkëshe	thekkësh	thekkëshim	thekkëshit	thekkëshin	thek	thekni	thekur
them	them	thua	thotë	themi	thoni	thonë	thosha	thoshe	thoshte	thoshim	thoshit	thoshin	thashë	the	tha	thamë	thatë	thanë	thënkam	thënke	thënka	thënkemi	thënkeni	thënkan	thënkësha	thënkëshe	thënkësh	thënkëshim	thënkëshit	thënkëshin	thuaj	thoni	thënë
ther	ther	ther	ther	therim	therni	therin	therja	therje	therte	thernim	thernit	thernin	thera	there	theri	therëm	therët	therën	therkam	therke	therka	therkemi	therkeni	therkan	therkësha	therkëshe	therkësh	therkëshim	therkëshit	therkëshin	ther	therni	therur
thith	thith	thith	thith	thithim	thithni	thithin	thithja	thithje	thithte	thithnim	thithnit	thithnin	thitha	thithe	thithi	thithëm	thithët	thithën	thithkam	thithke	thithka	thithkemi	thithkeni	thithkan	thithkësha	thithkëshe	thithkësh	thithkëshim	thithkëshit	thithkëshin	thith	thithni	thithur
thuk	thuk	thuk	thuk	thukim	thukni	thukin	thukja	thukje	thukte	thuknim	thuknit	thuknin	thuka	thuke	thuku	thukëm	thukët	thukën	thukkam	thukke	thukka	thukkemi	thukkeni	thukkan	thukkësha	thukkëshe	thukkësh	thukkëshim	thukkëshit	thukkëshin	thuk	thukni	thukur
thur	thur	thur	thur	thurim	thurni	thurin	thurja	thurje	thurte	thurnim	thurnit	thurnin	thura	thure	thuri	thurëm	thurët	thurën	thurkam	thurke	thurka	thurkemi	thurkeni	thurkan	thurkësha	thurkëshe	thurkësh	thurkëshim	thurkëshit	thurkëshin	thur	thurni	thurur
thërras	thërras	thërret	thërret	thërrasim	thërritni	thërrasin	thërritja	thërritje	thërriste	thërritnim	thërritnit	thërritnin	thërrita	thërrite	thërriti	thërritëm	thërritët	thërritën	thërritkam	thërritke	thërritka	thërritkemi	thërritkeni	thërritkan	thërritkësha	thërritkëshe	thërritkësh	thërritkëshim	thërritkëshit	thërritkëshin	thërrit	thërritni	thërritur
tiganis	tiganis	tiganis	tiganis	tiganisim	tiganisni	tiganisin	tiganisja	tiganisje	tiganiste	tiganisnim	tiganisnit	tiganisnin	tiganisa	tiganise	tiganisi	tiganisëm	tiganisët	tiganisën	tiganiskam	tiganiske	tiganiska	tiganiskemi	tiganiskeni	tiganiskan	tiganiskësha	tiganiskëshe	tiganiskësh	tiganiskëshim	tiganiskëshit	tiganiskëshin	tiganis	tiganisni	tiganisur
tipos	tipos	tipos	tipos	tiposim	tiposni	tiposin	tiposja	tiposje	tiposte	tiposnim	tiposnit	tiposnin	tiposa	tipose	tiposi	tiposëm	tiposët	tiposën	tiposkam	tiposke	tiposka	tiposkemi	tiposkeni	tiposkan	tiposkësha	tiposkëshe	tiposkësh	tiposkëshim	tiposkëshit	tiposkëshin	tipos	tiposni	tiposur
tjerr	tjerr	tjerr	tjerr	tjerrim	tirni	tjerrin	tirja	tirje	tirte	tirnim	tirnit	tirnin	tora	tore	tori	torëm	torët	torën	tjerrkam	tjerrke	tjerrka	tjerrkemi	tjerrkeni	tjerrkan	tjerrkësha	tjerrkëshe	tjerrkësh	tjerrkëshim	tjerrkëshit	tjerrkëshin	tir	tirni	tjerrë
tkurr	tkurr	tkurr	tkurr	tkurrim	tkurrni	tkurrin	tkurrja	tkurrje	tkurrte	tkurrnim	tkurrnit	tkurrnin	tkurra	tkurre	tkurri	tkurrëm	tkurrët	tkurrën	tkurrkam	tkurrke	tkurrka	tkurrkemi	tkurrkeni	tkurrkan	tkurrkësha	tkurrkëshe	tkurrkësh	tkurrkëshim	tkurrkëshit	tkurrkëshin	tkurr	tkurrni	tkurrur
tok	tok	tok	tok	tokim	tokni	tokin	tokja	tokje	tokte	toknim	toknit	toknin	toka	toke	toki	tokëm	tokët	tokën	tokkam	tokke	tokka	tokkemi	tokkeni	tokkan	tokkësha	tokkëshe	tokkësh	tokkëshim	tokkëshit	tokkëshin	tok	tokni	tokur
topit	topit	topit	topit	topitim	topitni	topitin	topitja	topitje	topitte	topitnim	topitnit	topitnin	topita	topite	topiti	topitëm	topitët	topitën	topitkam	topitke	topitka	topitkemi	topitkeni	topitkan	topitkësha	topitkëshe	topitkësh	topitkëshim	topitkëshit	topitkëshin	topit	topitni	topitur
trak	trak	trak	trak	trakim	trakni	trakin	trakja	trakje	trakte	traknim	traknit	traknin	traka	trake	traku	trakëm	trakët	trakën	trakkam	trakke	trakka	trakkemi	trakkeni	trakkan	trakkësha	trakkëshe	trakkësh	trakkëshim	trakkëshit	trakkëshin	trak	trakni	trakur
trash	trash	trash	trash	trashim	trashni	trashin	trashja	trashje	trashte	trashnim	trashnit	trashnin	trasha	trashe	trashtrash	trashëm	trashët	trashën	trashkam	trashke	trashka	trashkemi	trashkeni	trashkan	trashkësha	trashkëshe	trashkësh	trashkëshim	trashkëshit	trashkëshin	trash	trashni	trashur
trashem	trashem	trashesh	trashet	trashemi	trasheni	trashen	trashesha	trasheshe	trashej	trasheshim	trasheshit	trasheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	trashu	trashuni	trashur
tret	tret	tret	tret	tretim	tretni	tretin	tretja	tretje	trette	tretnim	tretnit	tretnin	treta	trete	treti	tretëm	tretët	tretën	tretkam	tretke	tretka	tretkemi	tretkeni	tretkan	tretkësha	tretkëshe	tretkësh	tretkëshim	tretkëshit	tretkëshin	tret	tretni	tretur
trishtohem	trishtohem	trishtohesh	trishtohet	trishtohemi	trishtoheni	trishtohen	trishtohesha	trishtoheshe	trishtohej	trishtoheshim	trishtoheshit	trishtoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	trishtohu	trishtohuni	trishtuar
trokas	trokas	troket	troket	trokasim	trokitni	trokasin	trokitja	trokitje	trokiste	trokitnim	trokitnit	trokitnin	trokita	trokite	trokiti	trokitëm	trokitët	trokitën	trokitkam	trokitke	trokitka	trokitkemi	trokitkeni	trokitkan	trokitkësha	trokitkëshe	trokitkësh	trokitkëshim	trokitkëshit	trokitkëshin	trokit	trokitni	trokitur
trondit	trondit	trondit	trondit	tronditim	tronditni	tronditin	tronditja	tronditje	tronditte	tronditnim	tronditnit	tronditnin	trondita	trondite	tronditi	tronditëm	tronditët	tronditën	tronditkam	tronditke	tronditka	tronditkemi	tronditkeni	tronditkan	tronditkësha	tronditkëshe	tronditkësh	tronditkëshim	tronditkëshit	tronditkëshin	trondit	tronditni	tronditur
trys	trys	trys	trys	trysim	trysni	trysin	trysja	trysje	tryste	trysnim	trysnit	trysnin	trysa	tryse	trysi	trysëm	trysët	trysën	tryskam	tryske	tryska	tryskemi	tryskeni	tryskan	tryskësha	tryskëshe	tryskësh	tryskëshim	tryskëshit	tryskëshin	trys	trysni	trysur
tund	tund	tund	tund	tundim	tundni	tundin	tundja	tundje	tundte	tundnim	tundnit	tundnin	tunda	tunde	tundi	tundëm	tundët	tundën	tundkam	tundke	tundka	tundkemi	tundkeni	tundkan	tundkësha	tundkëshe	tundkësh	tundkëshim	tundkëshit	tundkëshin	tund	tundni	tundur
turpërohem	turpërohem	turpërohesh	turpërohet	turpërohemi	turpëroheni	turpërohen	turpërohesha	turpëroheshe	turpërohej	turpëroheshim	turpëroheshit	turpëroheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	turpërohu	turpërohuni	turpëruar
tut	tut	tut	tut	tutim	tutni	tutin	tutja	tutje	tutte	tutnim	tutnit	tutnin	tuta	tute	tuti	tutëm	tutët	tutën	tutkam	tutke	tutka	tutkemi	tutkeni	tutkan	tutkësha	tutkëshe	tutkësh	tutkëshim	tutkëshit	tutkëshin	tut	tutni	tutur
tuturit	tuturit	tuturit	tuturit	tuturitim	tuturitni	tuturitin	tuturitja	tuturitje	tuturitte	tuturitnim	tuturitnit	tuturitnin	tuturita	tuturite	tuturiti	tuturitëm	tuturitët	tuturitën	tuturitkam	tuturitke	tuturitka	tuturitkemi	tuturitkeni	tuturitkan	tuturitkësha	tuturitkëshe	tuturitkësh	tuturitkëshim	tuturitkëshit	tuturitkëshin	tuturit	tuturitni	tuturitur
tymos	tymos	tymos	tymos	tymosim	tymosni	tymosin	tymosja	tymosje	tymoste	tymosnim	tymosnit	tymosnin	tymosa	tymose	tymosi	tymosëm	tymosët	tymosën	tymoskam	tymoske	tymoska	tymoskemi	tymoskeni	tymoskan	tymoskësha	tymoskëshe	tymoskësh	tymoskëshim	tymoskëshit	tymoskëshin	tymos	tymosni	tymosur
tëharr	tëharr	tëharr	tëharr	tëharrim	tëharrni	tëharrin	tëharrja	tëharrje	tëharrte	tëharrnim	tëharrnit	tëharrnin	tëharra	tëharre	tëharri	tëharrëm	tëharrët	tëharrën	tëharrkam	tëharrke	tëharrka	tëharrkemi	tëharrkeni	tëharrkan	tëharrkësha	tëharrkëshe	tëharrkësh	tëharrkëshim	tëharrkëshit	tëharrkëshin	tëharr	tëharrni	tëharrur
tëhollohem	tëhollohem	tëhollohesh	tëhollohet	tëhollohemi	tëholloheni	tëhollohen	tëhollohesha	tëholloheshe	tëhollohej	tëholloheshim	tëholloheshit	tëholloheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	tëhollohu	tëhollohuni	tëholluar
tërheq	tërheq	tërheq	tërheq	tërheqim	tërhiqni	tërheqin	tërhiqja	tërhiqje	tërhiqte	tërhiqnim	tërhiqnit	tërhiqnin	tërhoqa	tërhoqe	tërhoqi	tërhoqëm	tërhoqët	tërhoqën	tërheqkam	tërheqke	tërheqka	tërheqkemi	tërheqkeni	tërheqkan	tërheqkësha	tërheqkëshe	tërheqkësh	tërheqkëshim	tërheqkëshit	tërheqkëshin	tërhiq	tërhiqni	tërhequr
tështij	tështij	tështin	tështin	tështijmë	tështini	tështijnë	tështija	tështije	tështinte	tështinim	tështinit	tështinin	tështiva	tështive	tështiu	tështimë	tështitë	tështinë	tështikam	tështike	tështika	tështikemi	tështikeni	tështikan	tështikësha	tështikëshe	tështikësh	tështikëshim	tështikëshit	tështikëshin	tështi	tështini	tështirë
