# Tamil verb stems, mined from the kaikki ∩ ThamizhiMorph agreement.
# Tamil conjugation class is lexical, so the stems are stored and the
# engine (src/tam.rs) only stacks the PNG endings.
# Regenerate: python3 scripts/tam/mine_verbs.py
#
# present is the கிற் stem, past the past stem, future the வ்/ப் stem;
# um is the -உம் form, inf the infinitive, imp_pl the plural imperative.
# A `-` cell falls through to the productive weak rule.
# lemma	present	past	future	um	inf	imp_pl
அகப்படு	அகப்படுகிற்	அகப்பட்ட்	அகப்படுவ்	அகப்படும்	அகப்பட	அகப்படுங்கள்
பிணி	பிணிக்கிற்	பிணித்த்	பிணிப்ப்	பிணிக்கும்	பிணிக்க	பிணியுங்கள்
பிதுங்கு	பிதுங்குகிற்	பிதுங்கின்	பிதுங்குவ்	பிதுங்கும்	பிதுங்க	பிதுங்குங்கள்
பிந்து	பிந்துகிற்	பிந்தின்	பிந்துவ்	பிந்தும்	பிந்த	பிந்துங்கள்
பின்னு	பின்னுகிற்	பின்னின்	பின்னுவ்	பின்னும்	பின்ன	பின்னுங்கள்
பிய்	பிய்கிற்	பிய்த்த்	பிய்ப்ப்	பிய்க்கும்	பிய்க்க	பியுங்கள்
பிரசங்கி	பிரசங்கிக்கிற்	பிரசங்கித்த்	பிரசங்கிப்ப்	பிரசங்கிக்கும்	பிரசங்கிக்க	பிரசங்கியுங்கள்
பிரி	பிரிகிற்	பிரித்த்	பிரிப்ப்	பிரியும்	பிரிக்க	பிரியுங்கள்
பிற	பிறக்கிற்	பிறந்த்	பிறப்ப்	பிறக்கும்	பிறக்க	பிறவுங்கள்
பிறக்கு	பிறக்குகிற்	பிறக்கின்	பிறக்குவ்	பிறக்கும்	பிறக்க	பிறக்குங்கள்
பிறங்கு	பிறங்குகிற்	பிறங்கின்	பிறங்குவ்	பிறங்கும்	பிறங்க	பிறங்குங்கள்
பிறழ்	பிறழ்கிற்	பிறழ்ந்த்	பிறழ்வ்	பிறழும்	பிறழ	பிறழுங்கள்
பிறாண்டு	பிறாண்டுகிற்	பிறாண்டின்	பிறாண்டுவ்	பிறாண்டும்	பிறாண்ட	பிறாண்டுங்கள்
பிற்காலி	பிற்காலிக்கிற்	பிற்காலித்த்	பிற்காலிப்ப்	பிற்காலிக்கும்	பிற்காலிக்க	பிற்காலியுங்கள்
பிள	பிளக்கிற்	பிளந்த்	பிளப்ப்	பிளக்கும்	பிளக்க	பிளவுங்கள்
பிளிர்	பிளிர்க்கிற்	பிளிர்த்த்	பிளிர்ப்ப்	பிளிர்க்கும்	பிளிர்க்க	பிளிருங்கள்
பிளிறு	பிளிறுகிற்	பிளிறின்	பிளிறுவ்	பிளிறும்	பிளிற	பிளிறுங்கள்
பிளிற்று	பிளிற்றுகிற்	பிளிற்றின்	பிளிற்றுவ்	பிளிற்றும்	பிளிற்ற	பிளிற்றுங்கள்
பிழி	பிழிகிற்	பிழிந்த்	பிழிவ்	பிழியும்	பிழிய	பிழியுங்கள்
பிழை	பிழைக்கிற்	பிழைத்த்	பிழைப்ப்	பிழைக்கும்	பிழைக்க	பிழையுங்கள்
பீச்சு	பீச்சுகிற்	பீச்சின்	பீச்சுவ்	பீச்சும்	பீச்ச	பீச்சுங்கள்
பீத்து	பீத்துகிற்	பீத்தின்	பீத்துவ்	பீத்தும்	பீத்த	பீத்துங்கள்
பீர்ச்சு	பீர்ச்சுகிற்	பீர்ச்சின்	பீர்ச்சுவ்	பீர்ச்சும்	பீர்ச்ச	பீர்ச்சுங்கள்
புகட்டு	புகட்டுகிற்	புகட்டின்	புகட்டுவ்	புகட்டும்	புகட்ட	புகட்டுங்கள்
புகல்	புகல்கிற்	புகன்ற்	புகல்வ்	புகலும்	புகல	புகலுங்கள்
புகழ்	புகழ்கிற்	புகழ்ந்த்	புகழ்வ்	புகழும்	புகழ	புகழுங்கள்
புகு	புகுகிற்	புகுத்த்	புகுப்ப்	புகுக்கும்	புகுக்க	புகுங்கள்
புகுது	புகுதுகிற்	புகுதின்	புகுதுவ்	புகுதும்	புகுத	புகுதுங்கள்
புகுத்து	புகுத்துகிற்	புகுத்தின்	புகுத்துவ்	புகுத்தும்	புகுத்த	புகுத்துங்கள்
புகை	புகைகிற்	புகைத்த்	புகைப்ப்	புகையும்	புகைக்க	புகையுங்கள்
புசி	புசிக்கிற்	புசித்த்	புசிப்ப்	புசிக்கும்	புசிக்க	புசியுங்கள்
புடை	புடைக்கிற்	புடைத்த்	புடைப்ப்	புடைக்கும்	புடைக்க	புடையுங்கள்
புணர்	புணர்கிற்	புணர்த்த்	புணர்ப்ப்	புணரும்	புணர்க்க	புணருங்கள்
புதுப்பி	புதுப்பிக்கிற்	புதுப்பித்த்	புதுப்பிப்ப்	புதுப்பிக்கும்	புதுப்பிக்க	புதுப்பியுங்கள்
புதை	புதைகிற்	புதைத்த்	புதைப்ப்	புதையும்	புதைக்க	புதையுங்கள்
புனை	புனைகிற்	புனைந்த்	புனைவ்	புனையும்	புனைய	புனையுங்கள்
புரள்	புரள்கிற்	புரண்ட்	புரள்வ்	புரளும்	புரள	புரளுங்கள்
புரி	புரிகிற்	புரிந்த்	புரிவ்	புரியும்	புரிய	புரியுங்கள்
புல	புலக்கிற்	புலந்த்	புலப்ப்	புலக்கும்	புலக்க	புலவுங்கள்
புலம்பு	புலம்புகிற்	புலம்பின்	புலம்புவ்	புலம்பும்	புலம்ப	புலம்புங்கள்
புளி	புளிக்கிற்	புளித்த்	புளிப்ப்	புளிக்கும்	புளிக்க	புளியுங்கள்
புழங்கு	புழங்குகிற்	புழங்கின்	புழங்குவ்	புழங்கும்	புழங்க	புழங்குங்கள்
புழு	புழுக்கிற்	புழுத்த்	புழுப்ப்	புழுக்கும்	புழுக்க	புழுங்கள்
புழுங்கு	புழுங்குகிற்	புழுங்கின்	புழுங்குவ்	புழுங்கும்	புழுங்க	புழுங்குங்கள்
பூ	பூக்கிற்	பூத்த்	பூப்ப்	பூக்கும்	பூக்க	பூவுங்கள்
பூசு	பூசுகிற்	பூசின்	பூசுவ்	பூசும்	பூச	பூசுங்கள்
பூட்டு	பூட்டுகிற்	பூட்டின்	பூட்டுவ்	பூட்டும்	பூட்ட	பூட்டுங்கள்
பூண்	பூண்கிற்	பூண்ட்	பூண்ப்	பூணும்	பூண	பூணுங்கள்
பூரி	பூரிக்கிற்	பூரித்த்	பூரிப்ப்	பூரிக்கும்	பூரிக்க	பூரியுங்கள்
பூர்	பூர்கிற்	பூர்ந்த்	பூர்வ்	பூரும்	பூர	பூருங்கள்
பெயர்	பெயர்க்கிற்	பெயர்த்த்	பெயர்ப்ப்	பெயரும்	பெயர்க்க	பெயருங்கள்
பெய்	பெய்கிற்	பெய்த்	பெய்வ்	பெய்யும்	பெய்ய	பெய்யுங்கள்
பெரு	பெருக்கிற்	பெருத்த்	பெருப்ப்	பெருக்கும்	பெருக்க	பெருங்கள்
பெருகு	பெருகுகிற்	பெருகின்	பெருகுவ்	பெருகும்	பெருக	பெருகுங்கள்
பெருக்கு	பெருக்குகிற்	பெருக்கின்	பெருக்குவ்	பெருக்கும்	பெருக்க	பெருக்குங்கள்
பெறு	பெறுகிற்	பெற்ற்	பெறுவ்	பெறும்	பெற	பெறுங்கள்
பேசு	பேசுகிற்	பேசின்	பேசுவ்	பேசும்	பேச	பேசுங்கள்
பேணு	பேணுகிற்	பேணின்	பேணுவ்	பேணும்	பேண	பேணுங்கள்
பேந்து	பேந்துகிற்	பேந்தின்	பேந்துவ்	பேந்தும்	பேந்த	பேந்துங்கள்
பேர்	பேர்க்கிற்	பேர்த்த்	பேர்ப்ப்	பேரும்	பேர்க்க	பேருங்கள்
பேல்	பேல்கிற்	பேன்ற்	பேல்வ்	பேலும்	பேல	பேலுங்கள்
பேள்	பேள்கிற்	பேண்ட்	பேள்வ்	பேளும்	பேள	பேளுங்கள்
பொங்கு	பொங்குகிற்	பொங்கின்	பொங்குவ்	பொங்கும்	பொங்க	பொங்குங்கள்
பொசுக்கு	பொசுக்குகிற்	பொசுக்கின்	பொசுக்குவ்	பொசுக்கும்	பொசுக்க	பொசுக்குங்கள்
பொடி	பொடிகிற்	பொடிந்த்	பொடிவ்	பொடியும்	பொடிக்க	பொடியுங்கள்
பொத்து	பொத்துகிற்	பொத்தின்	பொத்துவ்	பொத்தும்	பொத்த	பொத்துங்கள்
பொரி	பொரிகிற்	பொரிந்த்	பொரிவ்	பொரியும்	பொரிக்க	பொரியுங்கள்
பொருது	பொருதுகிற்	பொருதின்	பொருதுவ்	பொருதும்	பொருத	பொருதுங்கள்
பொருத்து	பொருத்துகிற்	பொருத்தின்	பொருத்துவ்	பொருத்தும்	பொருத்த	பொருத்துங்கள்
பொருந்து	பொருந்துகிற்	பொருந்தின்	பொருந்துவ்	பொருந்தும்	பொருந்த	பொருந்துங்கள்
பொழி	பொழிகிற்	பொழிந்த்	பொழிவ்	பொழியும்	பொழிய	பொழியுங்கள்
போ	போகிற்	போன்	போவ்	போகும்	போக	போங்கள்
போக்கு	போக்குகிற்	போக்கின்	போக்குவ்	போக்கும்	போக்க	போக்குங்கள்
போடு	போடுகிற்	போட்ட்	போடுவ்	போடும்	போட	போடுங்கள்
போது	போதுகிற்	போதின்	போதுவ்	போதும்	போத	போதுங்கள்
போற்று	போற்றுகிற்	போற்றின்	போற்றுவ்	போற்றும்	போற்ற	போற்றுங்கள்
போல்	போல்கிற்	போன்ற்	போல்வ்	போலும்	போல	போலுங்கள்
மகிழ்	மகிழ்கிற்	மகிழ்ந்த்	மகிழ்வ்	மகிழும்	மகிழ	மகிழுங்கள்
மக்கு	மக்குகிற்	மக்கின்	மக்குவ்	மக்கும்	மக்க	மக்குங்கள்
மங்கு	மங்குகிற்	மங்கின்	மங்குவ்	மங்கும்	மங்க	மங்குங்கள்
மடக்கு	மடக்குகிற்	மடக்கின்	மடக்குவ்	மடக்கும்	மடக்க	மடக்குங்கள்
மடங்கு	மடங்குகிற்	மடங்கின்	மடங்குவ்	மடங்கும்	மடங்க	மடங்குங்கள்
மடி	மடிகிற்	மடித்த்	மடிப்ப்	மடியும்	மடிக்க	மடியுங்கள்
மதி	மதிக்கிற்	மதித்த்	மதிப்ப்	மதிக்கும்	மதிக்க	மதியுங்கள்
மந்திரி	மந்திரிக்கிற்	மந்திரித்த்	மந்திரிப்ப்	மந்திரிக்கும்	மந்திரிக்க	மந்திரியுங்கள்
மன்னி	மன்னிக்கிற்	மன்னித்த்	மன்னிப்ப்	மன்னிக்கும்	மன்னிக்க	மன்னியுங்கள்
மன்னு	மன்னுகிற்	மன்னின்	மன்னுவ்	மன்னும்	மன்ன	மன்னுங்கள்
மயங்கு	மயங்குகிற்	மயங்கின்	மயங்குவ்	மயங்கும்	மயங்க	மயங்குங்கள்
மர	மரக்கிற்	மரத்த்	மரப்ப்	மரக்கும்	மரக்க	மரவுங்கள்
மரணி	மரணிக்கிற்	மரணித்த்	மரணிப்ப்	மரணிக்கும்	மரணிக்க	மரணியுங்கள்
மரி	மரிக்கிற்	மரித்த்	மரிப்ப்	மரிக்கும்	மரிக்க	மரியுங்கள்
மருட்டு	மருட்டுகிற்	மருட்டின்	மருட்டுவ்	மருட்டும்	மருட்ட	மருட்டுங்கள்
மற	மறக்கிற்	மறந்த்	மறப்ப்	மறக்கும்	மறக்க	மறவுங்கள்
மறி	மறிகிற்	மறித்த்	மறிப்ப்	மறியும்	மறிக்க	மறியுங்கள்
மறு	மறுக்கிற்	மறுத்த்	மறுப்ப்	மறுக்கும்	மறுக்க	மறுங்கள்
மறை	மறைகிற்	மறைத்த்	மறைப்ப்	மறையும்	மறைக்க	மறையுங்கள்
மலர்	மலர்கிற்	மலர்த்த்	மலர்ப்ப்	மலரும்	மலர்க்க	மலருங்கள்
மல்கு	மல்குகிற்	மல்கின்	மல்குவ்	மல்கும்	மல்க	மல்குங்கள்
மல்லா	மல்லாக்கிற்	மல்லாந்த்	மல்லாப்ப்	மல்லாக்கும்	மல்லாக்க	மல்லாவுங்கள்
மல்லார்	மல்லார்கிற்	மல்லார்ந்த்	மல்லார்வ்	மல்லாரும்	மல்லார	மல்லாருங்கள்
மழுப்பு	மழுப்புகிற்	மழுப்பின்	மழுப்புவ்	மழுப்பும்	மழுப்ப	மழுப்புங்கள்
மாட்டு	மாட்டுகிற்	மாட்டின்	மாட்டுவ்	மாட்டும்	மாட்ட	மாட்டுங்கள்
மாண்	மாண்கிற்	மாண்ட்	மாண்ப்	மாணும்	மாண	மாணுங்கள்
மாய்	மாய்கிற்	மாய்த்த்	மாய்ப்ப்	மாயும்	மாய்க்க	மாயுங்கள்
மாறு	மாறுகிற்	மாறின்	மாறுவ்	மாறும்	மாற	மாறுங்கள்
மாற்று	மாற்றுகிற்	மாற்றின்	மாற்றுவ்	மாற்றும்	மாற்ற	மாற்றுங்கள்
மாள்	மாள்கிற்	மாண்ட்	மாள்வ்	மாளும்	மாள	மாளுங்கள்
மிகு	மிகுகிற்	மிகுத்த்	மிகுப்ப்	மிகுக்கும்	மிகுக்க	மிகுங்கள்
மிஞ்சு	மிஞ்சுகிற்	மிஞ்சின்	மிஞ்சுவ்	மிஞ்சும்	மிஞ்ச	மிஞ்சுங்கள்
மித	மிதக்கிற்	மிதந்த்	மிதப்ப்	மிதக்கும்	மிதக்க	மிதவுங்கள்
மிதி	மிதிக்கிற்	மிதித்த்	மிதிப்ப்	மிதிக்கும்	மிதிக்க	மிதியுங்கள்
மினுமினு	மினுமினுக்கிற்	மினுமினுத்த்	மினுமினுப்ப்	மினுமினுக்கும்	மினுமினுக்க	மினுமினுங்கள்
மீட்டு	மீட்டுகிற்	மீட்டின்	மீட்டுவ்	மீட்டும்	மீட்ட	மீட்டுங்கள்
மீறு	மீறுகிற்	மீறின்	மீறுவ்	மீறும்	மீற	மீறுங்கள்
மீள்	மீள்கிற்	மீட்ட்	மீள்வ்	மீளும்	மீள	மீளுங்கள்
முக்கு	முக்குகிற்	முக்கின்	முக்குவ்	முக்கும்	முக்க	முக்குங்கள்
முங்கு	முங்குகிற்	முங்கின்	முங்குவ்	முங்கும்	முங்க	முங்குங்கள்
முடக்கு	முடக்குகிற்	முடக்கின்	முடக்குவ்	முடக்கும்	முடக்க	முடக்குங்கள்
முடி	முடிகிற்	முடித்த்	முடிப்ப்	முடியும்	முடிக்க	முடியுங்கள்
முட்டு	முட்டுகிற்	முட்டின்	முட்டுவ்	முட்டும்	முட்ட	முட்டுங்கள்
முதிர்	முதிர்கிற்	முதிர்ந்த்	முதிர்வ்	முதிரும்	முதிர	முதிருங்கள்
முத்து	முத்துகிற்	முத்தின்	முத்துவ்	முத்தும்	முத்த	முத்துங்கள்
முந்து	முந்துகிற்	முந்தின்	முந்துவ்	முந்தும்	முந்த	முந்துங்கள்
முனகு	முனகுகிற்	முனகின்	முனகுவ்	முனகும்	முனக	முனகுங்கள்
முனை	முனைகிற்	முனைந்த்	முனைவ்	முனையும்	முனைய	முனையுங்கள்
முயல்	முயல்கிற்	முயன்ற்	முயல்வ்	முயலும்	முயல	முயலுங்கள்
முரண்	முரண்கிற்	முரண்ட்	முரண்ப்	முரணும்	முரண	முரணுங்கள்
முரண்டு	முரண்டுகிற்	முரண்டின்	முரண்டுவ்	முரண்டும்	முரண்ட	முரண்டுங்கள்
முரி	முரிகிற்	முரித்த்	முரிப்ப்	முரியும்	முரிக்க	முரியுங்கள்
முருமுரு	முருமுருக்கிற்	முருமுருத்த்	முருமுருப்ப்	முருமுருக்கும்	முருமுருக்க	முருமுருங்கள்
முறி	முறிகிற்	முறித்த்	முறிப்ப்	முறியும்	முறிக்க	முறியுங்கள்
முறுக்கு	முறுக்குகிற்	முறுக்கின்	முறுக்குவ்	முறுக்கும்	முறுக்க	முறுக்குங்கள்
முறுமுறு	முறுமுறுக்கிற்	முறுமுறுத்த்	முறுமுறுப்ப்	முறுமுறுக்கும்	முறுமுறுக்க	முறுமுறுங்கள்
முறை	முறைக்கிற்	முறைத்த்	முறைப்ப்	முறைக்கும்	முறைக்க	முறையுங்கள்
முற்று	முற்றுகிற்	முற்றின்	முற்றுவ்	முற்றும்	முற்ற	முற்றுங்கள்
முளை	முளைக்கிற்	முளைத்த்	முளைப்ப்	முளைக்கும்	முளைக்க	முளையுங்கள்
முழு	முழுக்கிற்	முழுத்த்	முழுப்ப்	முழுக்கும்	முழுக்க	முழுங்கள்
முழுக்கு	முழுக்குகிற்	முழுக்கின்	முழுக்குவ்	முழுக்கும்	முழுக்க	முழுக்குங்கள்
முழுசு	முழுசுகிற்	முழுசின்	முழுசுவ்	முழுசும்	முழுச	முழுசுங்கள்
மூ	மூக்கிற்	மூத்த்	மூப்ப்	மூக்கும்	மூக்க	மூவுங்கள்
மூடு	மூடுகிற்	மூடின்	மூடுவ்	மூடும்	மூட	மூடுங்கள்
மூட்டு	மூட்டுகிற்	மூட்டின்	மூட்டுவ்	மூட்டும்	மூட்ட	மூட்டுங்கள்
மூர்ச்சி	மூர்ச்சிக்கிற்	மூர்ச்சித்த்	மூர்ச்சிப்ப்	மூர்ச்சிக்கும்	மூர்ச்சிக்க	மூர்ச்சியுங்கள்
மூழ்கு	மூழ்குகிற்	மூழ்கின்	மூழ்குவ்	மூழ்கும்	மூழ்க	மூழ்குங்கள்
மெதுமெது	மெதுமெதுக்கிற்	மெதுமெதுத்த்	மெதுமெதுப்ப்	மெதுமெதுக்கும்	மெதுமெதுக்க	மெதுமெதுங்கள்
மெத்து	மெத்துகிற்	மெத்தின்	மெத்துவ்	மெத்தும்	மெத்த	மெத்துங்கள்
மெய்	மெய்க்கிற்	மெய்த்த்	மெய்ப்ப்	மெய்க்கும்	மெய்க்க	மெயுங்கள்
மெல்	மெல்கிற்	மென்ற்	மெல்வ்	மெல்லும்	மெல்ல	மெல்லுங்கள்
மெழுகு	மெழுகுகிற்	மெழுகின்	மெழுகுவ்	மெழுகும்	மெழுக	மெழுகுங்கள்
மேய்	மேய்கிற்	மேய்த்த்	மேய்ப்ப்	மேயும்	மேய்க்க	மேயுங்கள்
மொக்கு	மொக்குகிற்	மொக்கின்	மொக்குவ்	மொக்கும்	மொக்க	மொக்குங்கள்
மொழி	மொழிகிற்	மொழிந்த்	மொழிவ்	மொழியும்	மொழிய	மொழியுங்கள்
மோது	மோதுகிற்	மோதின்	மோதுவ்	மோதும்	மோத	மோதுங்கள்
யாசி	யாசிக்கிற்	யாசித்த்	யாசிப்ப்	யாசிக்கும்	யாசிக்க	யாசியுங்கள்
யூகி	யூகிக்கிற்	யூகித்த்	யூகிப்ப்	யூகிக்கும்	யூகிக்க	யூகியுங்கள்
ரசி	ரசிக்கிற்	ரசித்த்	ரசிப்ப்	ரசிக்கும்	ரசிக்க	ரசியுங்கள்
ருசி	ருசிக்கிற்	ருசித்த்	ருசிப்ப்	ருசிக்கும்	ருசிக்க	ருசியுங்கள்
வகு	வகுக்கிற்	வகுத்த்	வகுப்ப்	வகுக்கும்	வகுக்க	வகுங்கள்
வகை	வகைகிற்	வகைந்த்	வகைவ்	வகையும்	வகைய	வகையுங்கள்
வக்கு	வக்குகிற்	வக்கின்	வக்குவ்	வக்கும்	வக்க	வக்குங்கள்
வசி	வசிக்கிற்	வசித்த்	வசிப்ப்	வசிக்கும்	வசிக்க	வசியுங்கள்
வஞ்சி	வஞ்சிக்கிற்	வஞ்சித்த்	வஞ்சிப்ப்	வஞ்சிக்கும்	வஞ்சிக்க	வஞ்சியுங்கள்
வடி	வடிகிற்	வடித்த்	வடிப்ப்	வடியும்	வடிக்க	வடியுங்கள்
வணங்கு	வணங்குகிற்	வணங்கின்	வணங்குவ்	வணங்கும்	வணங்க	வணங்குங்கள்
வதக்கு	வதக்குகிற்	வதக்கின்	வதக்குவ்	வதக்கும்	வதக்க	வதக்குங்கள்
வருடு	வருடுகிற்	வருடின்	வருடுவ்	வருடும்	வருட	வருடுங்கள்
வருத்தி	வருத்திக்கிற்	வருத்தித்த்	வருத்திப்ப்	வருத்திக்கும்	வருத்திக்க	வருத்தியுங்கள்
வருத்து	வருத்துகிற்	வருத்தின்	வருத்துவ்	வருத்தும்	வருத்த	வருத்துங்கள்
வருந்து	வருந்துகிற்	வருந்தின்	வருந்துவ்	வருந்தும்	வருந்த	வருந்துங்கள்
வருவி	வருவிக்கிற்	வருவித்த்	வருவிப்ப்	வருவிக்கும்	வருவிக்க	வருவியுங்கள்
வரை	வரைகிற்	வரைந்த்	வரைவ்	வரையும்	வரைய	வரையுங்கள்
வறள்	வறள்கிற்	வறண்ட்	வறள்வ்	வறளும்	வறள	வறளுங்கள்
வறு	வறுக்கிற்	வறுத்த்	வறுப்ப்	வறுக்கும்	வறுக்க	வறுங்கள்
வற்று	வற்றுகிற்	வற்றின்	வற்றுவ்	வற்றும்	வற்ற	வற்றுங்கள்
வலி	வலிக்கிற்	வலித்த்	வலிப்ப்	வலிக்கும்	வலிக்க	வலியுங்கள்
வலு	வலுக்கிற்	வலுத்த்	வலுப்ப்	வலுக்கும்	வலுக்க	வலுங்கள்
வளர்	வளர்கிற்	வளர்த்த்	வளர்ப்ப்	வளரும்	வளர்க்க	வளருங்கள்
வளை	வளைகிற்	வளைத்த்	வளைப்ப்	வளையும்	வளைக்க	வளையுங்கள்
வழக்கு	வழக்குகிற்	வழக்கின்	வழக்குவ்	வழக்கும்	வழக்க	வழக்குங்கள்
வழங்கு	வழங்குகிற்	வழங்கின்	வழங்குவ்	வழங்கும்	வழங்க	வழங்குங்கள்
வழி	வழிகிற்	வழிந்த்	வழிவ்	வழியும்	வழிய	வழியுங்கள்
வழுக்கு	வழுக்குகிற்	வழுக்கின்	வழுக்குவ்	வழுக்கும்	வழுக்க	வழுக்குங்கள்
வா	வருகிற்	வந்த்	வருவ்	வரும்	வர	வாருங்கள்
வாங்கு	வாங்குகிற்	வாங்கின்	வாங்குவ்	வாங்கும்	வாங்க	வாங்குங்கள்
வாடு	வாடுகிற்	வாடின்	வாடுவ்	வாடும்	வாட	வாடுங்கள்
வாட்டு	வாட்டுகிற்	வாட்டின்	வாட்டுவ்	வாட்டும்	வாட்ட	வாட்டுங்கள்
வாந்தி	வாந்திக்கிற்	வாந்தித்த்	வாந்திப்ப்	வாந்திக்கும்	வாந்திக்க	வாந்தியுங்கள்
வாய்	வாய்கிற்	வாய்த்த்	வாய்ப்ப்	வாயும்	வாய்க்க	வாயுங்கள்
வாரு	வாருகிற்	வாரின்	வாருவ்	வாரும்	வார	வாருங்கள்
வார்	வார்கிற்	வார்த்த்	வார்ப்ப்	வாரும்	வார்க்க	வாருங்கள்
வாழ்	வாழ்கிற்	வாழ்ந்த்	வாழ்வ்	வாழும்	வாழ	வாழுங்கள்
வாழ்த்து	வாழ்த்துகிற்	வாழ்த்தின்	வாழ்த்துவ்	வாழ்த்தும்	வாழ்த்த	வாழ்த்துங்கள்
விக்கு	விக்குகிற்	விக்கின்	விக்குவ்	விக்கும்	விக்க	விக்குங்கள்
விடி	விடிகிற்	விடிந்த்	விடிவ்	விடியும்	விடிய	விடியுங்கள்
விடு	விடுகிற்	விடுத்த்	விடுப்ப்	விடுக்கும்	விட	விடுங்கள்
விதி	விதிக்கிற்	விதித்த்	விதிப்ப்	விதிக்கும்	விதிக்க	விதியுங்கள்
விதை	விதைக்கிற்	விதைத்த்	விதைப்ப்	விதைக்கும்	விதைக்க	விதையுங்கள்
வினவு	வினவுகிற்	வினவின்	வினவுவ்	வினவும்	வினவ	வினவுங்கள்
விய	வியக்கிற்	வியந்த்	வியப்ப்	வியக்கும்	வியக்க	வியவுங்கள்
வியர்	வியர்க்கிற்	வியர்த்த்	வியர்ப்ப்	வியர்க்கும்	வியர்க்க	வியருங்கள்
விரட்டு	விரட்டுகிற்	விரட்டின்	விரட்டுவ்	விரட்டும்	விரட்ட	விரட்டுங்கள்
விரும்பு	விரும்புகிற்	விரும்பின்	விரும்புவ்	விரும்பும்	விரும்ப	விரும்புங்கள்
விரை	விரைகிற்	விரைந்த்	விரைவ்	விரையும்	விரைய	விரையுங்கள்
விலகு	விலகுகிற்	விலகின்	விலகுவ்	விலகும்	விலக	விலகுங்கள்
விலக்கு	விலக்குகிற்	விலக்கின்	விலக்குவ்	விலக்கும்	விலக்க	விலக்குங்கள்
விலங்கு	விலங்குகிற்	விலங்கின்	விலங்குவ்	விலங்கும்	விலங்க	விலங்குங்கள்
வில்	விற்கிற்	விற்ற்	விற்ப்	விற்கும்	விற்க	வில்லுங்கள்
விளக்கு	விளக்குகிற்	விளக்கின்	விளக்குவ்	விளக்கும்	விளக்க	விளக்குங்கள்
விளங்கு	விளங்குகிற்	விளங்கின்	விளங்குவ்	விளங்கும்	விளங்க	விளங்குங்கள்
விளம்பு	விளம்புகிற்	விளம்பின்	விளம்புவ்	விளம்பும்	விளம்ப	விளம்புங்கள்
விளாசு	விளாசுகிற்	விளாசின்	விளாசுவ்	விளாசும்	விளாச	விளாசுங்கள்
விளி	விளிகிற்	விளித்த்	விளிப்ப்	விளியும்	விளிக்க	விளியுங்கள்
விளை	விளைகிற்	விளைத்த்	விளைப்ப்	விளையும்	விளைக்க	விளையுங்கள்
விளையாடு	விளையாடுகிற்	விளையாடின்	விளையாடுவ்	விளையாடும்	விளையாட	விளையாடுங்கள்
விளைவி	விளைவிக்கிற்	விளைவித்த்	விளைவிப்ப்	விளைவிக்கும்	விளைவிக்க	விளைவியுங்கள்
விழி	விழிக்கிற்	விழித்த்	விழிப்ப்	விழிக்கும்	விழிக்க	விழியுங்கள்
விழு	விழுகிற்	விழுந்த்	விழுவ்	விழும்	விழ	விழுங்கள்
விழுங்கு	விழுங்குகிற்	விழுங்கின்	விழுங்குவ்	விழுங்கும்	விழுங்க	விழுங்குங்கள்
விவரி	விவரிக்கிற்	விவரித்த்	விவரிப்ப்	விவரிக்கும்	விவரிக்க	விவரியுங்கள்
வீங்கு	வீங்குகிற்	வீங்கின்	வீங்குவ்	வீங்கும்	வீங்க	வீங்குங்கள்
வீசு	வீசுகிற்	வீசின்	வீசுவ்	வீசும்	வீச	வீசுங்கள்
வீட்டு	வீட்டுகிற்	வீட்டின்	வீட்டுவ்	வீட்டும்	வீட்ட	வீட்டுங்கள்
வீழ்	வீழ்கிற்	வீழ்ந்த்	வீழ்வ்	வீழும்	வீழ	வீழுங்கள்
வீழ்த்து	வீழ்த்துகிற்	வீழ்த்தின்	வீழ்த்துவ்	வீழ்த்தும்	வீழ்த்த	வீழ்த்துங்கள்
வெகு	வெகுக்கிற்	வெகுத்த்	வெகுப்ப்	வெகுக்கும்	வெகுக்க	வெகுங்கள்
வெடி	வெடிக்கிற்	வெடித்த்	வெடிப்ப்	வெடிக்கும்	வெடிக்க	வெடியுங்கள்
வெட்டு	வெட்டுகிற்	வெட்டின்	வெட்டுவ்	வெட்டும்	வெட்ட	வெட்டுங்கள்
வெறி	வெறிக்கிற்	வெறித்த்	வெறிப்ப்	வெறிக்கும்	வெறிக்க	வெறியுங்கள்
வெல்	வெல்கிற்	வென்ற்	வெல்வ்	வெல்லும்	வெல்ல	வெல்லுங்கள்
வெளி	வெளிக்கிற்	வெளித்த்	வெளிப்ப்	வெளிக்கும்	வெளிக்க	வெளியுங்கள்
வெளு	வெளுக்கிற்	வெளுத்த்	வெளுப்ப்	வெளுக்கும்	வெளுக்க	வெளுங்கள்
வே	வேகிற்	வெந்த்	வேவ்	வேகும்	வேக	வேகுங்கள்
வேண்டு	வேண்டுகிற்	வேண்டின்	வேண்டுவ்	வேண்டும்	வேண்ட	வேண்டுங்கள்
வேதி	வேதிக்கிற்	வேதித்த்	வேதிப்ப்	வேதிக்கும்	வேதிக்க	வேதியுங்கள்
வேய்	வேய்கிற்	வேய்த்த்	வேய்ப்ப்	வேயும்	வேய்க்க	வேயுங்கள்
