# Swedish principal parts, mined from the gold oracles.
# lemma <TAB> present <TAB> past <TAB> supine <TAB> imperative <TAB> subj-pres <TAB> subj-past ("-" = class-1 default)
K-märka	K-märker	K-märkte	K-märkt	K-märk	-	-
trafikleda	trafikleder	trafikledde	trafiklett	trafikled	-	-
trakthugga	trakthugger	trakthögg	trakthuggit	trakthugg	-	-
tro	-	trodde	trott	-	-	-
trollbinda	trollbinder	trollband	trollbundit	trollbind	-	-
trycka	trycker	tryckte	tryckt	tryck	-	-
tryta	tryter	tröt	trutit	tryt	-	-
trä	-	trädde	trätt	-	-	-
träcka	träcker	träckte	träckt	träck	-	-
träda	träder	-	-	träd	-	-
trälbinda	trälbinder	trälband	trälbundit	trälbind	-	-
tränga	tränger	trängde	trängt	träng	-	-
träta	träter	trätte	trätt	trät	-	-
trå	-	trådde	trått	-	-	-
tröstäta	tröstäter	tröståt	tröstätit	tröstät	-	-
tvärvända	tvärvänder	tvärvände	tvärvänt	tvärvänd	-	-
två	-	tvådde	tvagit	-	-	-
tvångsansluta	tvångsansluter	tvångsanslöt	tvångsanslutit	tvångsanslut	-	-
tvångsinlösa	tvångsinlöser	tvångsinlöste	tvångsinlöst	tvångsinlös	-	-
tvångsomhänderta	-	tvångsomhändertog	tvångsomhändertagit	-	tvångsomhändertage	-
tycka	tycker	tyckte	tyckt	tyck	-	-
tyckas	tycks	-	-	-	-	-
tyda	tyder	tydde	tytt	tyd	-	-
tydliggöra	tydliggör	tydliggjorde	tydliggjort	tydliggör	-	-
tykännas	tykänns	-	-	-	-	-
tynga	tynger	tyngde	tyngt	tyng	-	-
täcka	täcker	täckte	täckt	täck	-	-
täckas	täcks	-	-	-	-	-
tälja	täljer	talde	talt	tälj	-	-
tämja	tämjer	tämjde	tämjt	tämj	-	-
tända	tänder	tände	tänt	tänd	-	-
tänja	tänjer	tänjde	tänjt	tänj	-	-
tänka	tänker	tänkte	tänkt	tänk	-	-
tära	tär	tärde	tärt	tär	-	-
tävlingsskjuta	tävlingsskjuter	tävlingssköt	tävlingsskjutit	tävlingsskjut	-	-
tåla	tål	tålde	tålt	tål	-	-
töja	töjer	töjde	töjt	töj	-	-
tömma	tömmer	tömde	tömt	töm	-	-
töras	törs	tordes	torts	-	-	-
ugnssteka	ugnssteker	ugnsstekte	ugnsstekt	ugnsstek	-	-
umbära	umbär	umbar	umburit	umbär	-	-
umgälla	umgäller	umgällde	umgällt	umgäll	-	-
undangömma	undangömmer	undangömde	undangömt	undangöm	-	-
undanhålla	undanhåller	undanhöll	undanhållit	undanhåll	-	-
undanröja	undanröjer	undanröjde	undanröjt	undanröj	-	-
undanskymma	undanskymmer	undanskymde	undanskymt	undanskym	-	-
undansticka	undansticker	undanstack	undanstuckit	undanstick	-	-
undanta	-	undantog	undantagit	-	undantage	-
undantränga	undantränger	undanträngde	undanträngt	undanträng	-	-
underanvända	underanvänder	underanvände	underanvänt	underanvänd	-	-
underbinda	underbinder	underband	underbundit	underbind	-	-
underbjuda	underbjuder	underbjöd	underbjudit	underbjud	-	-
underblåsa	underblåser	underblåste	underblåst	underblås	-	-
underbygga	underbygger	underbyggde	underbyggt	underbygg	-	-
underdriva	underdriver	underdrev	underdrivit	underdriv	-	-
underförstå	-	underförstod	underförstådd	-	-	-
undergräva	undergräver	undergrävde	undergrävt	undergräv	-	-
undergå	-	undergick	undergått	-	undergånge	-
underhålla	underhåller	underhöll	underhållit	underhåll	-	-
underkyla	underkyler	underkylde	underkylt	underkyl	-	-
underkänna	underkänner	underkände	underkänt	underkänn	-	-
underlåta	underlåter	underlät	underlåtit	underlåt	-	-
underskrida	underskrider	underskred	underskridit	underskrid	-	-
underskriva	underskriver	underskrev	underskrivit	underskriv	-	-
underslå	-	underslog	underslagit	-	-	-
understicka	understicker	understack	understuckit	understick	-	-
understiga	understiger	understeg	understigit	understig	-	-
understryka	understryker	underströk	understrukit	understryk	-	-
underställa	underställer	underställde	underställt	underställ	-	-
understödja	understöder	understödde	understött	understöd	-	-
undersälja	undersäljer	undersålde	undersålt	undersälj	-	-
undersöka	undersöker	undersökte	undersökt	undersök	-	-
undertrycka	undertrycker	undertryckte	undertryckt	undertryck	-	-
undfalla	undfaller	undföll	undfallit	undfall	-	-
undfly	-	undflydde	undflytt	-	-	-
undfå	-	undfick	undfått	-	-	-
undgå	-	undgick	undgått	-	-	-
undkomma	undkommer	undkom	undkommit	-	-	-
undskylla	undskyller	undskyllde	undskyllt	undskyll	-	-
undslippa	undslipper	undslapp	undsluppit	undslipp	-	-
undsätta	undsätter	undsatte	undsatt	undsätt	-	-
undvika	undviker	undvek	undvikit	undvik	-	-
uppbjuda	uppbjuder	uppbjöd	uppbjudit	uppbjud	-	-
uppbygga	uppbygger	uppbyggde	uppbyggt	uppbygg	-	-
uppbära	uppbär	uppbar	uppburit	uppbär	-	-
uppdra	-	uppdrog	uppdragit	-	uppdrage	-
uppdriva	uppdriver	uppdrev	uppdrivit	uppdriv	-	-
uppehålla	uppehåller	uppehöll	uppehållit	uppehåll	-	-
uppfinna	uppfinner	uppfann	uppfunnit	uppfinn	-	-
uppfylla	uppfyller	uppfyllde	uppfyllt	uppfyll	-	-
uppföda	uppföder	uppfödde	uppfött	uppföd	-	-
uppföra	uppför	uppförde	uppfört	uppför	-	-
uppge	-	uppgav	uppgett	-	uppgive	-
uppgå	-	uppgick	uppgått	-	uppgånge	-
upphäva	upphäver	upphov	upphävt	upphäv	-	-
upphöja	upphöjer	upphöjde	upphöjt	upphöj	-	-
upphöra	upphör	upphörde	upphört	upphör	-	-
uppkomma	uppkommer	uppkom	uppkommit	uppkom	-	-
uppleva	upplever	upplevde	-	upplev	-	-
upplysa	upplyser	upplyste	upplyst	upplys	-	-
upplägga	upplägger	uppla	upplagt	upplägg	-	-
uppläsa	uppläser	uppläste	uppläst	uppläs	-	-
upplåta	upplåter	upplät	upplåtit	upplåt	-	-
upplösa	upplöser	upplöste	upplöst	upplös	-	-
uppmäta	uppmäter	uppmätte	uppmätt	uppmät	-	-
uppnå	-	uppnådde	uppnått	-	-	-
uppresa	uppreser	uppreste	upprest	uppres	-	-
uppriva	uppriver	upprev	upprivit	uppriv	-	-
upprymma	upprymmer	upprymde	upprymt	upprym	-	-
uppränna	uppränner	upprände	uppränt	uppränn	-	-
upprätthålla	upprätthåller	upprätthöll	upprätthållit	upprätthåll	-	-
uppröra	upprör	upprörde	upprört	upprör	-	-
uppskjuta	uppskjuter	uppsköt	uppskjutit	uppskjut	-	-
uppspricka	uppspricker	uppsprack	uppspruckit	uppsprick	-	-
uppstiga	uppstiger	uppsteg	uppstigit	uppstig	-	-
uppställa	uppställer	uppställde	uppställt	uppställ	-	-
uppstämma	uppstämmer	uppstämde	uppstämt	uppstäm	-	-
uppstå	-	uppstod	uppstått	-	-	-
uppsuga	uppsuger	uppsög	uppsugit	uppsug	-	-
uppsätta	uppsätter	uppsatte	uppsatt	uppsätt	-	-
uppsöka	uppsöker	uppsökte	uppsökt	uppsök	-	-
uppta	-	upptog	upptagit	-	upptage	-
uppträda	uppträder	uppträdde	uppträtt	uppträd	-	-
upptäcka	upptäcker	upptäckte	upptäckt	upptäck	-	-
upptända	upptänder	upptände	upptänt	upptänd	-	-
uppväcka	uppväcker	uppväckte	uppväckt	uppväck	-	-
uppväga	uppväger	uppvägde	uppvägt	uppväg	-	-
uppvärma	uppvärmer	uppvärmde	uppvärmt	uppvärm	-	-
uppväxa	uppväxer	uppväxte	uppvuxit	-	-	-
uppäta	uppäter	uppåt	uppätit	uppät	-	-
uraktlåta	uraktlåter	uraktlät	uraktlåtit	uraktlåt	-	-
urskilja	urskiljer	urskilde	urskilt	urskilj	-	-
urskönja	urskönjer	urskönjde	urskönjt	urskönj	-	-
ursprungsmärka	ursprungsmärker	ursprungsmärkte	ursprungsmärkt	ursprungsmärk	-	-
uruppföra	uruppför	uruppförde	uruppfört	uruppför	-	-
utbekomma	utbekommer	utbekom	utbekommit	utbekom	-	-
utbjuda	utbjuder	utbjöd	utbjudit	utbjud	-	-
utbre	-	utbredde	utbrett	-	-	-
utbrista	utbrister	utbrast	utbrustit	utbrist	-	-
utbryta	utbryter	utbröt	utbrutit	utbryt	-	-
utbygga	utbygger	utbyggde	utbyggt	utbygg	-	-
utbyta	utbyter	utbytte	utbytt	utbyt	-	-
utdra	-	utdrog	utdragit	-	utdrage	-
utdriva	utdriver	utdrev	utdrivit	utdriv	-	-
utdöma	utdömer	utdömde	utdömt	utdöm	-	-
utebli	-	uteblev	uteblivit	-	uteblive	-
utelåsa	utelåser	utelåste	utelåst	utelås	-	-
utesluta	utesluter	uteslöt	uteslutit	uteslut	-	-
utestänga	utestänger	utestängde	utestängt	utestäng	-	-
utfalla	utfaller	utföll	utfallit	utfall	-	-
utfylla	utfyller	utfyllde	utfyllt	utfyll	-	-
utfälla	utfäller	utfällde	utfällt	utfäll	-	-
utfästa	utfäster	utfäste	utfäst	utfäst	-	-
utfå	-	utfick	utfått	-	-	-
utföra	utför	utförde	utfört	utför	-	-
utförsälja	utförsäljer	utförsålde	utförsålt	utförsälj	-	-
utge	-	utgav	utgett	-	utgive	-
utgjuta	utgjuter	utgöt	utgjutit	utgjut	-	-
utgräva	utgräver	utgrävde	utgrävt	utgräv	-	-
utgå	-	utgick	utgått	-	utgånge	-
utgöra	utgör	utgjorde	utgjort	utgör	-	-
uthyra	uthyr	uthyrde	uthyrt	uthyr	-	-
utklyva	utklyver	utklöv	utkluvit	utklyv	-	-
utkomma	utkommer	utkom	utkommit	utkom	-	-
utkräva	utkräver	utkrävde	utkrävt	utkräv	-	-
utkyla	utkyler	utkylde	utkylt	utkyl	-	-
utlysa	utlyser	utlyste	utlyst	utlys	-	-
utlägga	utlägger	utla	utlagt	utlägg	-	-
utläsa	utläser	utläste	utläst	utläs	-	-
utlöpa	utlöper	utlöpte	utlöpt	utlöp	-	-
utlösa	utlöser	utlöste	utlöst	utlös	-	-
utmärka	utmärker	utmärkte	utmärkt	utmärk	-	-
utmäta	utmäter	utmätte	utmätt	utmät	-	-
utnämna	utnämner	utnämnde	utnämnt	utnämn	-	-
utreda	utreder	utredde	utrett	utred	-	-
utrymma	utrymmer	utrymde	utrymt	utrym	-	-
utröna	utröner	utrönte	utrönt	utrön	-	-
utse	-	utsåg	utsett	-	-	-
utskilja	utskiljer	utskilde	utskilt	utskilj	-	-
utskriva	utskriver	utskrev	utskrivit	utskriv	-	-
utskänka	utskänker	utskänkte	utskänkt	utskänk	-	-
utsläcka	utsläcker	utsläckte	utsläckt	utsläck	-	-
utsprida	utsprider	utspred	utspridit	utsprid	-	-
utspy	-	utspydde	utspytt	-	-	-
utsträcka	utsträcker	utsträckte	utsträckt	utsträck	-	-
utställa	utställer	utställde	utställt	utställ	-	-
utstå	-	utstod	utstått	-	-	-
utstöta	utstöter	utstötte	utstött	utstöt	-	-
utsuga	utsuger	utsög	utsugit	utsug	-	-
utsäga	utsäger	utsade	utsagt	utsäg	-	-
utsända	utsänder	utsände	utsänt	utsänd	-	-
utsätta	utsätter	utsatte	utsatt	utsätt	-	-
utsöka	utsöker	utsökte	utsökt	utsök	-	-
uttrycka	uttrycker	uttryckte	uttryckt	uttryck	-	-
utträda	utträder	utträdde	utträtt	utträd	-	-
uttyda	uttyder	uttydde	uttytt	uttyd	-	-
uttänja	uttänjer	uttänjde	uttänjt	uttänj	-	-
uttömma	uttömmer	uttömde	uttömt	uttöm	-	-
utvinna	utvinner	utvann	utvunnit	utvinn	-	-
utvälja	utväljer	utvalde	utvalt	utvälj	-	-
vakanssätta	vakanssätter	vakanssatte	vakanssatt	vakanssätt	-	-
vakantsätta	vakantsätter	vakantsatte	vakantsatt	vakantsätt	-	-
vanpryda	vanpryder	vanprydde	vanprytt	vanpryd	-	-
vansköta	vansköter	vanskötte	vanskött	vansköt	-	-
vanstyra	vanstyr	vanstyrde	vanstyrt	vanstyr	-	-
vanställa	vanställer	vanställde	vanställt	vanställ	-	-
vara	är	var	varit	var	vare	vore
varda	varder	varde	vart	-	-	-
varmköra	varmkör	varmkörde	varmkört	varmkör	-	-
varmröka	varmröker	varmrökte	varmrökt	varmrök	-	-
varsebli	-	varseblev	varseblivit	-	varseblive	-
varsko	-	varskodde	varskott	-	-	-
vassgöra	vassgör	vassgjorde	vassgjort	vassgör	-	-
vattendränka	vattendränker	vattendränkte	vattendränkt	vattendränk	-	-
vederböra	vederbör	-	-	-	-	-
vederfaras	vederfars	vederfors	vederfarits	-	-	-
vedergälla	vedergäller	vedergällde	vedergällt	vedergäll	-	-
vederkvicka	vederkvicker	vederkvickte	vederkvickt	vederkvick	-	-
vederlägga	vederlägger	vederla	vederlagt	vederlägg	-	-
verkliggöra	verkliggör	verkliggjorde	verkliggjort	verkliggör	-	-
verkställa	verkställer	verkställde	verkställt	verkställ	-	-
veta	vet	visste	-	vet	-	-
vetta	vetter	vette	-	vett	-	-
vidbränna	vidbränner	vidbrände	vidbränt	vidbränn	-	-
vidgå	-	vidgick	vidgått	-	-	-
vidhänga	vidhänger	vidhängde	vidhängt	vidhäng	-	-
vidhålla	vidhåller	vidhöll	vidhållit	vidhåll	-	-
vidkomma	vidkommer	vidkom	vidkommit	-	-	-
vidkännas	vidkänns	-	-	-	-	-
vidlåda	vidlåder	vidlådde	vidlått	vidlåd	-	-
vidmakthålla	vidmakthåller	vidmakthöll	vidmakthållit	vidmakthåll	-	-
vidröra	vidrör	vidrörde	vidrört	vidrör	-	-
vidta	-	vidtog	vidtagit	-	vidtage	-
viga	viger	vigde	vigt	vig	-	-
vika	viker	vek	vikit	vik	-	-
vilja	vill	ville	velat	-	-	-
villfara	villfar	villfor	villfarit	villfar	-	-
villfaras	villfars	-	-	-	-	-
vilseföra	vilseför	vilseförde	vilsefört	vilseför	-	-
vilseleda	vilseleder	vilseledde	vilselett	vilseled	-	-
vingklippa	vingklipper	vingklippte	vingklippt	vingklipp	-	-
vingskjuta	vingskjuter	vingsköt	vingskjutit	vingskjut	-	-
vinna	vinner	vann	vunnit	vinn	-	-
vinterväghålla	vinterväghåller	vinterväghöll	vinterväghållit	vinterväghåll	-	-
vrida	vrider	vred	vridit	vrid	-	-
vräka	vräker	vräkte	vräkt	vräk	-	-
vränga	vränger	vrängde	vrängt	vräng	-	-
väcka	väcker	väckte	väckt	väck	-	-
vägleda	vägleder	vägledde	väglett	vägled	-	-
väja	väjer	väjde	väjt	väj	-	-
välja	väljer	valde	valt	välj	-	-
välla	väller	vällde	vällt	väll	-	-
välsigne	-	-	-	-	välsigne	-
välva	välver	välvde	välvt	välv	-	-
vämja	vämjer	vämjde	vämjt	vämj	-	-
vämjas	vämjs	-	-	-	-	-
vända	vänder	vände	vänt	vänd	-	-
vändsteka	vändsteker	vändstekte	vändstekt	vändstek	-	-
vänja	vänjer	vande	vant	vänj	-	-
vänsterknäcka	vänsterknäcker	vänsterknäckte	vänsterknäckt	vänsterknäck	-	-
värdesätta	värdesätter	värdesatte	värdesatt	värdesätt	-	-
värja	värjer	värjde	värjt	värj	-	-
värka	värker	värkte	värkt	värk	-	-
värma	värmer	värmde	värmt	värm	-	-
värpa	värper	värpte	värpt	värp	-	-
väsa	väser	väste	väst	väs	-	-
väta	väter	vätte	vätt	vät	-	-
väva	väver	vävde	vävt	väv	-	-
växa	växer	växte	vuxit	-	-	-
vågföra	vågför	vågförde	vågfört	vågför	-	-
våldföra	våldför	våldförde	våldfört	våldför	-	-
våldta	-	våldtog	våldtagit	-	våldtage	-
yvas	yvs	yvdes	yvts	-	-	-
äga	äger	ägde	ägt	äg	-	-
ändvända	ändvänder	ändvände	ändvänt	ändvänd	-	-
ärekränka	ärekränker	ärekränkte	ärekränkt	ärekränk	-	-
ärva	ärver	ärvde	ärvt	ärv	-	-
äta	äter	åt	ätit	ät	-	-
ådagalägga	ådagalägger	ådagala	ådagalagt	ådagalägg	-	-
åderlåta	åderlåter	åderlät	åderlåtit	åderlåt	-	-
ådra	-	-	-	-	ådrage	-
ådöma	ådömer	ådömde	ådömt	ådöm	-	-
åhöra	åhör	åhörde	åhört	åhör	-	-
åka	åker	åkte	åkt	åk	-	-
åldersbestämma	åldersbestämmer	åldersbestämde	åldersbestämt	åldersbestäm	-	-
åligga	åligger	ålåg	ålegat	åligg	-	-
ålägga	ålägger	åla	ålagt	ålägg	-	-
ångförvälla	ångförväller	ångförvällde	ångförvällt	ångförväll	-	-
åse	-	åsåg	åsett	-	-	-
åsidosätta	åsidosätter	åsidosatte	åsidosatt	åsidosätt	-	-
åskådliggöra	åskådliggör	åskådliggjorde	åskådliggjort	åskådliggör	-	-
åstadkomma	åstadkommer	åstadkom	åstadkommit	åstadkom	-	-
åsätta	åsätter	åsatte	åsatt	åsätt	-	-
återanlända	återanländer	återanlände	återanlänt	återanländ	-	-
återanvända	återanvänder	återanvände	återanvänt	återanvänd	-	-
återbesätta	återbesätter	återbesatte	återbesatt	återbesätt	-	-
återbesöka	återbesöker	återbesökte	återbesökt	återbesök	-	-
återfalla	återfaller	återföll	återfallit	återfall	-	-
återfinna	återfinner	återfann	återfunnit	återfinn	-	-
återfå	-	återfick	återfått	-	-	-
återfödas	återföds	-	-	-	-	-
återföra	återför	återförde	återfört	återför	-	-
återförsluta	återförsluter	återförslöt	återförslutit	återförslut	-	-
återförsälja	återförsäljer	återförsålde	återförsålt	återförsälj	-	-
återge	-	återgav	återgett	-	återgive	-
återgå	-	återgick	återgått	-	återgånge	-
återhålla	återhåller	återhöll	återhållit	återhåll	-	-
återinföra	återinför	återinförde	återinfört	återinför	-	-
återinsätta	återinsätter	återinsatte	återinsatt	återinsätt	-	-
återinträda	återinträder	återinträdde	återinträtt	återinträd	-	-
återinviga	återinviger	återinvigde	återinvigt	återinvig	-	-
återknyta	återknyter	återknöt	återknutit	återknyt	-	-
återkomma	återkommer	återkom	återkommit	återkom	-	-
återkräva	återkräver	återkrävde	återkrävt	återkräv	-	-
återköpa	återköper	återköpte	återköpt	återköp	-	-
återlösa	återlöser	återlöste	återlöst	återlös	-	-
återse	-	återsåg	återsett	-	-	-
återställa	återställer	återställde	återställt	återställ	-	-
återstå	-	återstod	återstått	-	-	-
återsälja	återsäljer	återsålde	återsålt	återsälj	-	-
återsända	återsänder	återsände	återsänt	återsänd	-	-
återta	-	återtog	återtagit	-	återtage	-
återuppbygga	återuppbygger	återuppbyggde	återuppbyggt	återuppbygg	-	-
återuppföra	återuppför	återuppförde	återuppfört	återuppför	-	-
återuppleva	återupplever	återupplevde	-	återupplev	-	-
återuppstå	-	återuppstod	återuppstått	-	-	-
återuppta	-	återupptog	återupptagit	-	återupptage	-
återupptäcka	återupptäcker	återupptäckte	återupptäckt	återupptäck	-	-
återuppväcka	återuppväcker	återuppväckte	återuppväckt	återuppväck	-	-
återutsända	återutsänder	återutsände	återutsänt	återutsänd	-	-
återvinna	återvinner	återvann	återvunnit	återvinn	-	-
återvälja	återväljer	återvalde	återvalt	återvälj	-	-
återvända	återvänder	återvände	återvänt	återvänd	-	-
återväxa	återväxer	återväxte	återväxt	återväx	-	-
åtfölja	åtföljer	åtföljde	åtföljt	åtfölj	-	-
åtgå	-	åtgick	åtgått	-	åtgånge	-
åtlyda	åtlyder	åtlydde	åtlytt	åtlyd	-	-
åtnjuta	åtnjuter	åtnjöt	åtnjutit	åtnjut	-	-
åtnöjas	åtnöjs	-	-	-	-	-
åtrå	-	åtrådde	åtrått	-	-	-
åtskilja	åtskiljer	åtskilde	åtskilt	åtskilj	-	-
öda	öder	ödde	ött	öd	-	-
ödelägga	ödelägger	ödela	ödelagt	ödelägg	-	-
öronmärka	öronmärker	öronmärkte	öronmärkt	öronmärk	-	-
ösa	öser	öste	öst	ös	-	-
överanstränga	överanstränger	överansträngde	överansträngt	överansträng	-	-
överanvända	överanvänder	överanvände	överanvänt	överanvänd	-	-
överbelägga	överbelägger	överbela	överbelagt	överbelägg	-	-
överbjuda	överbjuder	överbjöd	överbjudit	överbjud	-	-
överdra	-	överdrog	överdragit	-	överdrage	-
överdriva	överdriver	överdrev	överdrivit	överdriv	-	-
överenskomma	överenskommer	överenskom	överenskommit	överenskom	-	-
överensstämma	överensstämmer	överensstämde	överensstämt	överensstäm	-	-
överfalla	överfaller	överföll	överfallit	överfall	-	-
överflyga	överflyger	överflög	överflugit	överflyg	-	-
överföra	överför	överförde	överfört	överför	-	-
överge	-	övergav	övergett	-	övergive	-
överglänsa	överglänser	överglänste	överglänst	övergläns	-	-
övergå	-	övergick	övergått	-	-	-
övergöda	övergöder	övergödde	övergött	övergöd	-	-
överhölja	överhöljer	överhöljde	överhöljt	överhölj	-	-
överleva	överlever	överlevde	-	överlev	-	-
överlägga	överlägger	överla	överlagt	överlägg	-	-
överlåta	överlåter	överlät	överlåtit	överlåt	-	-
överräcka	överräcker	överräckte	överräckt	överräck	-	-
överse	-	översåg	översett	-	-	-
överskrida	överskrider	överskred	överskridit	överskrid	-	-
överskyla	överskyler	överskylde	överskylt	överskyl	-	-
överskölja	översköljer	översköljde	översköljt	överskölj	-	-
överstiga	överstiger	översteg	överstigit	överstig	-	-
översända	översänder	översände	översänt	översänd	-	-
översätta	översätter	översatte	översatt	översätt	-	-
överta	-	övertog	övertagit	-	övertage	-
överträda	överträder	överträdde	överträtt	överträd	-	-
övertäcka	övertäcker	övertäckte	övertäckt	övertäck	-	-
övervinna	övervinner	övervann	övervunnit	övervinn	-	-
överväga	överväger	övervägde	övervägt	överväg	-	-
överösa	överöser	överöste	överöst	överös	-	-
övningsköra	övningskör	övningskörde	övningskört	övningskör	-	-
övningsskjuta	övningsskjuter	övningssköt	övningsskjutit	övningsskjut	-	-
förgås	-	förgicks	förgåtts	-	-	-
klökas	-	klöktes	klökts	-	-	-
rädas	-	räddes	rädits	-	-	-
skrämmas	-	skrämdes	skrämts	-	-	-
skämmas	-	skämdes	skämts	-	-	-
slåss	-	slogs	slagits	-	-	-
styggas	-	styggdes	styggts	-	-	-
trivas	-	trivdes	trivts	-	-	-
vantrivas	-	vantrivdes	vantrivts	-	-	-
