# lemma(1sg.pres)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG	V;IND;PST;2;SG	V;IND;PST;3;SG	V;IND;PST;1;PL	V;IND;PST;2;PL	V;IND;PST;3;PL	V;IND;PROG;PST;1;SG	V;IND;PROG;PST;2;SG	V;IND;PROG;PST;3;SG	V;IND;PROG;PST;1;PL	V;IND;PROG;PST;2;PL	V;IND;PROG;PST;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.CVB	V.PTCP;ACT;PST;MASC;SG;INDF	V.PTCP;ACT;PST;FEM;SG;INDF	V.PTCP;ACT;PST;NEUT;SG;INDF	V.PTCP;ACT;PST;PL;INDF	V.PTCP;ACT;PST;NFH;MASC;SG;INDF	V.PTCP;ACT;PST;NFH;FEM;SG;INDF	V.PTCP;ACT;PST;NFH;NEUT;SG;INDF	V.PTCP;ACT;PST;NFH;PL;INDF	V.PTCP;ACT;PRS;MASC;SG;INDF	V.PTCP;ACT;PRS;FEM;SG;INDF	V.PTCP;ACT;PRS;NEUT;SG;INDF	V.PTCP;ACT;PRS;PL;INDF	V.PTCP;PASS;PST;MASC;SG;INDF	V.PTCP;PASS;PST;FEM;SG;INDF	V.PTCP;PASS;PST;NEUT;SG;INDF	V.PTCP;PASS;PST;PL;INDF	V.MSDR;NEUT;SG;INDF	V.MSDR;PL;INDF  ("-" = productive default)
сетя	сетя	сетиш	сети	сетим	сетите	сетят	сетих	сети	сети	сетихме	сетихте	сетиха	сетех	сетеше	сетеше	сетехме	сетехте	сетеха	сети	сетете	-	сетил	сетила	сетило	сетили	сетел	сетела	сетело	сетели	-	-	-	-	сетен	сетена	сетено	сетени	-	-
сецам	-	-	-	-	-	-	сецах	сеца	сеца	сецахме	сецахте	сецаха	сецах	сецаше	сецаше	сецахме	сецахте	сецаха	сецаи	сецаите	сецаики	сецал	сецала	сецало	сецали	сецал	сецала	сецало	сецали	сецащ	сецаща	сецащо	сецащи	-	-	-	-	сецане	сецанета
сещам	-	-	-	-	-	-	сещах	сеща	сеща	сещахме	сещахте	сещаха	сещах	сещаше	сещаше	сещахме	сещахте	сещаха	сещаи	сещаите	сещаики	сещал	сещала	сещало	сещали	сещал	сещала	сещало	сещали	сещащ	сещаща	сещащо	сещащи	сещан	сещана	сещано	сещани	сещане	сещанета
сея	сея	сееш	сее	сеем	сеете	сеят	сеях	сея	сея	сеяхме	сеяхте	сеяха	сеех	сееше	сееше	сеехме	сеехте	сееха	сеи	сеите	сееики	сеял	сеяла	сеяло	сели	сеел	сеела	сеело	сеели	сеещ	сееща	сеещо	сеещи	сеян	сеяна	сеяно	сети	сеене	сеенета
сикам	-	-	-	-	-	-	сиках	сика	сика	сикахме	сикахте	сикаха	сиках	сикаше	сикаше	сикахме	сикахте	сикаха	сикаи	сикаите	сикаики	сикал	сикала	сикало	сикали	сикал	сикала	сикало	сикали	сикащ	сикаща	сикащо	сикащи	сикан	сикана	сикано	сикани	сикане	сиканета
сипя	сипя	сипеш	сипе	сипем	сипете	сипят	сипах	сипа	сипа	сипахме	сипахте	сипаха	сипех	сипеше	сипеше	сипехме	сипехте	сипеха	сипи	сипете	сипеики	сипал	сипала	сипало	сипали	сипел	сипела	сипело	сипели	сипещ	сипеща	сипещо	сипещи	сипан	сипана	сипано	сипани	сипане	сипанета
сияя	сияя	сияеш	сияе	сияем	сияете	сияят	сиях	сия	сия	сияхме	сияхте	сияха	сияех	сияеше	сияеше	сияехме	сияехте	сияеха	сияй	сияйте	сияейки	сиял	сияла	сияло	сияли	сияел	сияела	сияело	сияели	сияещ	сияеща	сияещо	сияещи	-	-	-	-	сияне	сияния-нета
скачам	-	-	-	-	-	-	скачах	скача	скача	скачахме	скачахте	скачаха	скачах	скачаше	скачаше	скачахме	скачахте	скачаха	скачаи	скачаите	скачаики	скачал	скачала	скачало	скачали	скачал	скачала	скачало	скачали	скачащ	скачаща	скачащо	скачащи	-	-	-	-	скачане	скачанета
скверня	скверня	скверниш	скверни	скверним	скверните	сквернят	скверних	скверни	скверни	сквернихме	сквернихте	скверниха	сквернях	сквернеше	сквернеше	скверняхме	скверняхте	скверняха	скверни	сквернете	сквернеики	сквернил	сквернила	сквернило	сквернили	сквернял	скверняла	скверняло	сквернели	сквернящ	скверняща	сквернящо	сквернящи	сквернен	сквернена	сквернено	сквернени	сквернене	скверненета
скимтя	скимтя	скимтиш	скимти	скимтим	скимтите	скимтят	скимтях	скимтя	скимтя	скимтяхме	скимтяхте	скимтяха	скимтях	скимтеше	скимтеше	скимтяхме	скимтяхте	скимтяха	скимти	скимтете	скимтеики	скимтял	скимтяла	скимтяло	скимтели	скимтял	скимтяла	скимтяло	скимтели	скимтящ	скимтяща	скимтящо	скимтящи	-	-	-	-	скимтене	скимтенета
скитам	-	-	-	-	-	-	скитах	скита	скита	скитахме	скитахте	скитаха	скитах	скиташе	скиташе	скитахме	скитахте	скитаха	скитаи	скитаите	скитаики	скитал	скитала	скитало	скитали	скитал	скитала	скитало	скитали	скитащ	скитаща	скитащо	скитащи	-	-	-	-	скитане	скитанета
склоня	склоня	склониш	склони	склоним	склоните	склонят	склоних	склони	склони	склонихме	склонихте	склониха	склонях	склонеше	склонеше	склоняхме	склоняхте	склоняха	склони	склонете	-	склонил	склонила	склонило	склонили	склонял	склоняла	склоняло	склонели	-	-	-	-	склонен	склонена	склонено	склонени	-	-
скокощя	скокощя	скокощеш	скокоще	скокощем	скокощете	скокощят	скокощах	скокоща	скокоща	скокощахме	скокощахте	скокощаха	скокощех	скокощеше	скокощеше	скокощехме	скокощехте	скокощеха	скокощи	скокощете	скокощеики	скокощал	скокощала	скокощало	скокощали	скокощел	скокощела	скокощело	скокощели	скокощещ	скокощеща	скокощещо	скокощещи	скокощан	скокощана	скокощано	скокощани	скокощене	скокощенета
скопя	скопя	скопиш	скопи	скопим	скопите	скопят	скопих	скопи	скопи	скопихме	скопихте	скопиха	скопях	скопеше	скопеше	скопяхме	скопяхте	скопяха	скопи	скопете	-	скопил	скопила	скопило	скопили	скопял	скопяла	скопяло	скопели	-	-	-	-	скопен	скопена	скопено	скопени	-	-
скоча	скоча	скочиш	скочи	скочим	скочите	скочат	скочих	скочи	скочи	скочихме	скочихте	скочиха	скочех	скочеше	скочеше	скочехме	скочехте	скочеха	скочи	скочете	-	скочил	скочила	скочило	скочили	скочел	скочела	скочело	скочели	-	-	-	-	-	-	-	-	-	-
скрибуцам	-	-	-	-	-	-	скрибуцах	скрибуца	скрибуца	скрибуцахме	скрибуцахте	скрибуцаха	скрибуцах	скрибуцаше	скрибуцаше	скрибуцахме	скрибуцахте	скрибуцаха	скрибуцаи	скрибуцаите	скрибуцаики	скрибуцал	скрибуцала	скрибуцало	скрибуцали	скрибуцал	скрибуцала	скрибуцало	скрибуцали	скрибуцащ	скрибуцаща	скрибуцащо	скрибуцащи	-	-	-	-	скрибуцане	скрибуцанета
скривам	-	-	-	-	-	-	скривах	скрива	скрива	скривахме	скривахте	скриваха	скривах	скриваше	скриваше	скривахме	скривахте	скриваха	скриваи	скриваите	скриваики	скривал	скривала	скривало	скривали	скривал	скривала	скривало	скривали	скриващ	скриваща	скриващо	скриващи	скриван	скривана	скривано	скривани	скриване	скриванета
скриптя	скриптя	скриптиш	скрипти	скриптим	скриптите	скриптят	скриптих	скрипти	скрипти	скриптихме	скриптихте	скриптиха	скриптях	скриптеше	скриптеше	скриптяхме	скриптяхте	скриптяха	скрипти	скриптете	скриптеики	скриптил	скриптила	скриптило	скриптили	скриптял	скриптяла	скриптяло	скриптели	скриптящ	скриптяща	скриптящо	скриптящи	-	-	-	-	скриптене	скриптенета
скрипя	скрипя	скрипеш	скрипе	скрипем	скрипете	скрипят	скрипах	скрипа	скрипа	скрипахме	скрипахте	скрипаха	скрипех	скрипеше	скрипеше	скрипехме	скрипехте	скрипеха	скрипи	скрипете	скрипеики	скрипал	скрипала	скрипало	скрипали	скрипел	скрипела	скрипело	скрипели	скрипещ	скрипеща	скрипещо	скрипещи	скрипан	скрипана	скрипано	скрипани	скрипене	скрипенета
скрия	скрия	скриеш	скрие	скрием	скриете	скрият	скрих	скри	скри	скрихме	скрихте	скриха	скриех	скриеше	скриеше	скриехме	скриехте	скриеха	скрии	скриите	-	скрил	скрила	скрило	скрили	скриел	скриела	скриело	скриели	-	-	-	-	скрит	скрита	скрито	скрити	-	-
скубя	скубя	скубеш	скубе	скубем	скубете	скубят	скубах	скуба	скуба	скубахме	скубахте	скубаха	скубех	скубеше	скубеше	скубехме	скубехте	скубеха	скуби	скубете	скубейки	скубал	скубала	скубало	скубали	скубел	скубела	скубело	скубели	скубещ	скубеща	скубещо	скубещи	скубан	скубана	скубано	скубани	скубане	скубания-нета
скупча	скупча	скупчиш	скупчи	скупчим	скупчите	скупчат	скупчих	скупчи	скупчи	скупчихме	скупчихте	скупчиха	скупчех	скупчеше	скупчеше	скупчехме	скупчехте	скупчеха	скупчи	скупчете	-	скупчил	скупчила	скупчило	скупчили	скупчел	скупчела	скупчело	скупчели	-	-	-	-	скупчен	скупчена	скупчено	скупчени	-	-
скучая	скучая	скучаеш	скучае	скучаем	скучаете	скучаят	скучах	скуча	скуча	скучахме	скучахте	скучаха	скучаех	скучаеше	скучаеше	скучаехме	скучаехте	скучаеха	скучаи	скучаите	скучаеики	скучал	скучала	скучало	скучали	скучаел	скучаела	скучаело	скучаели	скучаещ	скучаеща	скучаещо	скучаещи	скучан	скучана	скучано	скучани	скучаене	скучаенета
скъпя	скъпя	скъпиш	скъпи	скъпим	скъпите	скъпят	скъпих	скъпи	скъпи	скъпихме	скъпихте	скъпиха	скъпях	скъпеше	скъпеше	скъпяхме	скъпяхте	скъпяха	скъпи	скъпете	скъпеики	скъпил	скъпила	скъпило	скъпили	скъпял	скъпяла	скъпяло	скъпели	скъпящ	скъпяща	скъпящо	скъпящи	скъпен	скъпена	скъпено	скъпени	скъпене	скъпенета
скърбя	скърбя	скърбиш	скърби	скърбим	скърбите	скърбят	скърбих	скърби	скърби	скърбихме	скърбихте	скърбиха	скърбях	скърбеше	скърбеше	скърбяхме	скърбяхте	скърбяха	скърби	скърбете	скърбеики	скърбил	скърбила	скърбило	скърбили	скърбял	скърбяла	скърбяло	скърбели	скърбящ	скърбяща	скърбящо	скърбящи	-	-	-	-	скърбене	скърбенета
скърцам	-	-	-	-	-	-	скърцах	скърца	скърца	скърцахме	скърцахте	скърцаха	скърцах	скърцаше	скърцаше	скърцахме	скърцахте	скърцаха	скърцаи	скърцаите	скърцаики	скърцал	скърцала	скърцало	скърцали	скърцал	скърцала	скърцало	скърцали	скърцащ	скърцаща	скърцащо	скърцащи	-	-	-	-	скърцане	скърцанета
славя	славя	славиш	слави	славим	славите	славят	славих	слави	слави	славихме	славихте	славиха	славех	славеше	славеше	славехме	славехте	славеха	слави	славете	славеики	славил	славила	славило	славили	славел	славела	славело	славели	славещ	славеща	славещо	славещи	славен	славена	славено	славени	славене	славенета
слагам	-	-	-	-	-	-	слагах	слага	слага	слагахме	слагахте	слагаха	слагах	слагаше	слагаше	слагахме	слагахте	слагаха	слагаи	слагаите	слагаики	слагал	слагала	слагало	слагали	слагал	слагала	слагало	слагали	слагащ	слагаща	слагащо	слагащи	слаган	слагана	слагано	слагани	слагане	слаганета
следвам	-	-	-	-	-	-	следвах	следва	следва	следвахме	следвахте	следваха	следвах	следваше	следваше	следвахме	следвахте	следваха	следваи	следваите	следваики	следвал	следвала	следвало	следвали	следвал	следвала	следвало	следвали	следващ	следваща	следващо	следващи	следван	следвана	следвано	следвани	следване	следванета
следя	следя	следиш	следи	следим	следите	следят	следях	следя	следя	следяхме	следяхте	следяха	следях	следеше	следеше	следяхме	следяхте	следяха	следи	следете	следеики	следял	следяла	следяло	следели	следял	следяла	следяло	следели	следящ	следяща	следящо	следящи	-	-	-	-	следене	следенета
сливам	-	-	-	-	-	-	сливах	слива	слива	сливахме	сливахте	сливаха	сливах	сливаше	сливаше	сливахме	сливахте	сливаха	сливаи	сливаите	сливаики	сливал	сливала	сливало	сливали	сливал	сливала	сливало	сливали	сливащ	сливаща	сливащо	сливащи	сливан	сливана	сливано	сливани	сливане	сливанета
слизам	-	-	-	-	-	-	слизах	слиза	слиза	слизахме	слизахте	слизаха	слизах	слизаше	слизаше	слизахме	слизахте	слизаха	слизай	слизайте	слизайки	слизал	слизала	слизало	слизали	слизал	слизала	слизало	слизали	слизащ	слизаща	слизащо	слизащи	-	-	-	-	слизане	слизания-нета
сложа	сложа	сложиш	сложи	сложим	сложите	сложат	сложих	сложи	сложи	сложихме	сложихте	сложиха	сложех	сложеше	сложеше	сложехме	сложехте	сложеха	сложи	сложете	-	сложил	сложила	сложило	сложили	сложел	сложела	сложело	сложели	-	-	-	-	сложен	сложена	сложено	сложени	-	-
сломя	сломя	сломиш	сломи	сломим	сломите	сломят	сломих	сломи	сломи	сломихме	сломихте	сломиха	сломех	сломеше	сломеше	сломехме	сломехте	сломеха	сломи	сломете	-	сломил	сломила	сломило	сломили	сломел	сломела	сломело	сломели	-	-	-	-	сломен	сломена	сломено	сломени	-	-
служа	служа	служиш	служи	служим	служите	служат	служих	служи	служи	служихме	служихте	служиха	служех	служеше	служеше	служехме	служехте	служеха	служи	служете	служеики	служил	служила	служило	служили	служел	служела	служело	служели	служещ	служеща	служещо	служещи	-	-	-	-	служене	служенета
случа	случа	случиш	случи	случим	случите	случат	случих	случи	случи	случихме	случихте	случиха	случех	случеше	случеше	случехме	случехте	случеха	случи	случете	-	случил	случила	случило	случили	случел	случела	случело	случели	-	-	-	-	случен	случена	случено	случени	-	-
случвам	-	-	-	-	-	-	случвах	случва	случва	случвахме	случвахте	случваха	случвах	случваше	случваше	случвахме	случвахте	случваха	случваи	случваите	случваики	случвал	случвала	случвало	случвали	случвал	случвала	случвало	случвали	случващ	случваща	случващо	случващи	случван	случвана	случвано	случвани	случване	случванета
слушам	-	-	-	-	-	-	слушах	слуша	слуша	слушахме	слушахте	слушаха	слушах	слушаше	слушаше	слушахме	слушахте	слушаха	слушай	слушайте	слушайки	слушал	слушала	слушало	слушали	слушал	слушала	слушало	слушали	слушащ	слушаща	слушащо	слушащи	слушан	слушана	слушано	слушани	слушане	слушания-нета
сляза	сляза	слезеш	слезе	слезем	слезете	слязат	слязох	слезе	слезе	слязохме	слязохте	слязоха	слезех	слезеше	слезеше	слезехме	слезехте	слезеха	слез	слезте	-	слязъл	слязла	слязло	слезли	слезел	слезела	слезело	слезели	-	-	-	-	-	-	-	-	-	-
смажа	смажа	смажеш	смаже	смажем	смажете	смажат	смазах	смаза	смаза	смазахме	смазахте	смазаха	смажех	смажеше	смажеше	смажехме	смажехте	смажеха	смажи	смажете	-	смазал	смазала	смазало	смазали	смажел	смажела	смажело	смажели	-	-	-	-	смазан	смазана	смазано	смазани	-	-
смазвам	-	-	-	-	-	-	смазвах	смазва	смазва	смазвахме	смазвахте	смазваха	смазвах	смазваше	смазваше	смазвахме	смазвахте	смазваха	смазвай	смазвайте	смазвайки	смазвал	смазвала	смазвало	смазвали	смазвал	смазвала	смазвало	смазвали	смазващ	смазваща	смазващо	смазващи	смазван	смазвана	смазвано	смазвани	смазване	смазвания-нета
сматрям	-	-	-	-	-	-	сматрях	сматря	сматря	сматряхме	сматряхте	сматряха	сматрях	сматряше	сматряше	сматряхме	сматряхте	сматряха	сматряи	сматряите	сматряики	сматрял	сматряла	сматряло	сматряли	сматрял	сматряла	сматряло	сматряли	сматрящ	сматряща	сматрящо	сматрящи	сматрян	сматряна	сматряно	сматряни	сматряне	сматрянета
смесвам	-	-	-	-	-	-	смесвах	смесва	смесва	смесвахме	смесвахте	смесваха	смесвах	смесваше	смесваше	смесвахме	смесвахте	смесваха	смесваи	смесваите	смесваики	смесвал	смесвала	смесвало	смесвали	смесвал	смесвала	смесвало	смесвали	смесващ	смесваща	смесващо	смесващи	смесван	смесвана	смесвано	смесвани	смесване	смесванета
сметна	сметна	сметнеш	сметне	сметнем	сметнете	сметнат	сметнах	сметна	сметна	сметнахме	сметнахте	сметнаха	сметнех	сметнеше	сметнеше	сметнехме	сметнехте	сметнеха	сметни	сметнете	-	сметнал	сметнала	сметнало	сметнали	сметнел	сметнела	сметнело	сметнели	-	-	-	-	сметнат	сметната	сметнато	сметнати	-	-
смея	смея	смееш	смее	смеем	смеете	смеят	смях	смя	смя	смяхме	смяхте	смяха	смеех	смееше	смееше	смеехме	смеехте	смееха	смеи	смеите	смееики	смял	смяла	смяло	смели	смеел	смеела	смеело	смеели	смеещ	смееща	смеещо	смеещи	-	-	-	-	смеене	смеенета
смия	смия	смиеш	смие	смием	смиете	смият	смих	сми	сми	смихме	смихте	смиха	смиех	смиеше	смиеше	смиехме	смиехте	смиеха	смии	смиите	-	смил	смила	смило	смили	смиел	смиела	смиело	смиели	-	-	-	-	смит	смита	смито	смити	-	-
смуча	смуча	смучеш	смуче	смучем	смучете	смучат	смуках	смука	смука	смукахме	смукахте	смукаха	смучех	смучеше	смучеше	смучехме	смучехте	смучеха	смучи	смучете	смучеики	смукал	смукала	смукало	смукали	смучел	смучела	смучело	смучели	смучещ	смучеща	смучещо	смучещи	смукан	смукана	смукано	смукани	смукане	смуканета
смъдя	смъдя	смъдиш	смъди	смъдим	смъдите	смъдят	смъдях	смъдя	смъдя	смъдяхме	смъдяхте	смъдяха	смъдях	смъдеше	смъдеше	смъдяхме	смъдяхте	смъдяха	смъди	смъдете	смъдеики	смъдял	смъдяла	смъдяло	смъдели	смъдял	смъдяла	смъдяло	смъдели	смъдящ	смъдяща	смъдящо	смъдящи	смъдян	смъдяна	смъдяно	смъдени	смъдене	смъденета
смърдя	смърдя	смърдиш	смърди	смърдим	смърдите	смърдят	смърдях	смърдя	смърдя	смърдяхме	смърдяхте	смърдяха	смърдях	смърдеше	смърдеше	смърдяхме	смърдяхте	смърдяха	смърди	смърдете	смърдеики	смърдял	смърдяла	смърдяло	смърдели	смърдял	смърдяла	смърдяло	смърдели	смърдящ	смърдяща	смърдящо	смърдящи	-	-	-	-	смърдене	смърденета
смъркам	-	-	-	-	-	-	смърках	смърка	смърка	смъркахме	смъркахте	смъркаха	смърках	смъркаше	смъркаше	смъркахме	смъркахте	смъркаха	смъркаи	смъркаите	смъркаики	смъркал	смъркала	смъркало	смъркали	смъркал	смъркала	смъркало	смъркали	смъркащ	смъркаща	смъркащо	смъркащи	смъркан	смъркана	смъркано	смъркани	смъркане	смърканета
смятам	-	-	-	-	-	-	смятах	смята	смята	смятахме	смятахте	смятаха	смятах	смяташе	смяташе	смятахме	смятахте	смятаха	смятаи	смятаите	смятаики	смятал	смятала	смятало	смятали	смятал	смятала	смятало	смятали	смятащ	смятаща	смятащо	смятащи	смятан	смятана	смятано	смятани	смятане	смятанета
снабдя	снабдя	снабдиш	снабди	снабдим	снабдите	снабдят	снабдих	снабди	снабди	снабдихме	снабдихте	снабдиха	снабдях	снабдеше	снабдеше	снабдяхме	снабдяхте	снабдяха	снабди	снабдете	-	снабдил	снабдила	снабдило	снабдили	снабдял	снабдяла	снабдяло	снабдели	-	-	-	-	снабден	снабдена	снабдено	снабдени	-	-
снасям	-	-	-	-	-	-	снасях	снася	снася	снасяхме	снасяхте	снасяха	снасях	снасяше	снасяше	снасяхме	снасяхте	снасяха	снасяй	снасяйте	снасяйки	снасял	снасяла	снасяло	снасяли	снасял	снасяла	снасяло	снасяли	снасящ	снасяща	снасящо	снасящи	снасян	снасяна	снасяно	снасяни	снасяне	снасяния-нета
снеса	снеса	снесеш	снесе	снесем	снесете	снесат	снесох	снесе	снесе	снесохме	снесохте	снесоха	снесях	снесеше	снесеше	снесяхме	снесяхте	снесяха	снеси	снесете	-	снесъл	снесла	снесло	снесли	снесял	снесяла	снесяло	снесели	-	-	-	-	снесен	снесена	снесено	снесени	-	-
снова	снова	сновеш	снове	сновем	сновете	сноват	сновах	снова	снова	сновахме	сновахте	сноваха	сновях	сновеше	сновеше	сновяхме	сновяхте	сновяха	снови	сновете	сновеики	сновал	сновала	сновало	сновали	сновял	сновяла	сновяло	сновели	сновящ	сновяща	сновящо	сновящи	снован	снована	сновано	сновани	сноване	снованета
сопна	сопна	сопнеш	сопне	сопнем	сопнете	сопнат	сопнах	сопна	сопна	сопнахме	сопнахте	сопнаха	сопнех	сопнеше	сопнеше	сопнехме	сопнехте	сопнеха	сопни	сопнете	-	сопнал	сопнала	сопнало	сопнали	сопнел	сопнела	сопнело	сопнели	-	-	-	-	-	-	-	-	-	-
соча	соча	сочиш	сочи	сочим	сочите	сочат	сочих	сочи	сочи	сочихме	сочихте	сочиха	сочех	сочеше	сочеше	сочехме	сочехте	сочеха	сочи	сочете	сочеики	сочил	сочила	сочило	сочили	сочел	сочела	сочело	сочели	сочещ	сочеща	сочещо	сочещи	сочен	сочена	сочено	сочени	сочене	соченета
спадам	-	-	-	-	-	-	спадах	спада	спада	спадахме	спадахте	спадаха	спадах	спадаше	спадаше	спадахме	спадахте	спадаха	спадаи	спадаите	спадаики	спадал	спадала	спадало	спадали	спадал	спадала	спадало	спадали	спадащ	спадаща	спадащо	спадащи	-	-	-	-	спадане	спаданета
спаря	спаря	спариш	спари	спарим	спарите	спарят	спарих	спари	спари	спарихме	спарихте	спариха	спарех	спареше	спареше	спарехме	спарехте	спареха	спари	спарете	-	спарил	спарила	спарило	спарили	спарел	спарела	спарело	спарели	-	-	-	-	спарен	спарена	спарено	спарени	-	-
спася	спася	спасиш	спаси	спасим	спасите	спасят	спасих	спаси	спаси	спасихме	спасихте	спасиха	спасях	спасеше	спасеше	спасяхме	спасяхте	спасяха	спаси	спасете	-	спасил	спасила	спасило	спасили	спасял	спасяла	спасяло	спасели	-	-	-	-	спасен	спасена	спасено	спасени	-	-
спасявам	-	-	-	-	-	-	спасявах	спасява	спасява	спасявахме	спасявахте	спасяваха	спасявах	спасяваше	спасяваше	спасявахме	спасявахте	спасяваха	спасявай	спасявайте	спасявайки	спасявал	спасявала	спасявало	спасявали	спасявал	спасявала	спасявало	спасявали	спасяващ	спасяваща	спасяващо	спасяващи	спасяван	спасявана	спасявано	спасявани	спасяване	спасявания-нета
спека	спека	спечеш	спече	спечем	спечете	спекат	спекох	спече	спече	спекохме	спекохте	спекоха	спечах	спечеше	спечеше	спечахме	спечахте	спечаха	спечи	спечете	-	спекъл	спекла	спекло	спекли	спечал	спечала	спечало	спечели	-	-	-	-	спечен	спечена	спечено	спечени	-	-
спестя	спестя	спестиш	спести	спестим	спестите	спестят	спестих	спести	спести	спестихме	спестихте	спестиха	спестях	спестеше	спестеше	спестяхме	спестяхте	спестяха	спести	спестете	-	спестил	спестила	спестило	спестили	спестял	спестяла	спестяло	спестели	-	-	-	-	спестен	спестена	спестено	спестени	-	-
спестявам	-	-	-	-	-	-	спестявах	спестява	спестява	спестявахме	спестявахте	спестяваха	спестявах	спестяваше	спестяваше	спестявахме	спестявахте	спестяваха	спестявай	спестявайте	спестявайки	спестявал	спестявала	спестявало	спестявали	спестявал	спестявала	спестявало	спестявали	спестяващ	спестяваща	спестяващо	спестяващи	спестяван	спестявана	спестявано	спестявани	спестяване	спестявания-нета
спирам	-	-	-	-	-	-	спирах	спира	спира	спирахме	спирахте	спираха	спирах	спираше	спираше	спирахме	спирахте	спираха	спирай	спирайте	спирайки	спирал	спирала	спирало	спирали	спирал	спирала	спирало	спирали	спиращ	спираща	спиращо	спиращи	спиран	спирана	спирано	спирани	спиране	спирания-нета
спихна	спихна	спихнеш	спихне	спихнем	спихнете	спихнат	спихнах	спихна	спихна	спихнахме	спихнахте	спихнаха	спихнех	спихнеше	спихнеше	спихнехме	спихнехте	спихнеха	спихни	спихнете	-	спихнал	спихнала	спихнало	спихнали	спихнел	спихнела	спихнело	спихнели	-	-	-	-	-	-	-	-	-	-
спичам	-	-	-	-	-	-	спичах	спича	спича	спичахме	спичахте	спичаха	спичах	спичаше	спичаше	спичахме	спичахте	спичаха	спичай	спичайте	спичайки	спичал	спичала	спичало	спичали	спичал	спичала	спичало	спичали	спичащ	спичаща	спичащо	спичащи	спичан	спичана	спичано	спичани	спичане	спичания-нета
сподавя	сподавя	сподавиш	сподави	сподавим	сподавите	сподавят	сподавих	сподави	сподави	сподавихме	сподавихте	сподавиха	сподавех	сподавеше	сподавеше	сподавехме	сподавехте	сподавеха	сподави	сподавете	-	сподавил	сподавила	сподавило	сподавили	сподавел	сподавела	сподавело	сподавели	-	-	-	-	сподавен	сподавена	сподавено	сподавени	-	-
споделя	споделя	споделиш	сподели	споделим	споделите	споделят	споделих	сподели	сподели	споделихме	споделихте	споделиха	споделях	споделеше	споделеше	споделяхме	споделяхте	споделяха	сподели	споделете	-	споделил	споделила	споделило	споделили	споделял	споделяла	споделяло	споделели	-	-	-	-	споделен	споделена	споделено	споделени	-	-
споделям	-	-	-	-	-	-	споделях	споделя	споделя	споделяхме	споделяхте	споделяха	споделях	споделяше	споделяше	споделяхме	споделяхте	споделяха	споделяи	споделяите	споделяики	споделял	споделяла	споделяло	споделяли	споделял	споделяла	споделяло	споделяли	споделящ	споделяща	споделящо	споделящи	споделян	споделяна	споделяно	споделяни	споделяне	споделянета
сполетя	сполетя	сполетиш	сполети	сполетим	сполетите	сполетят	сполетях	сполетя	сполетя	сполетяхме	сполетяхте	сполетяха	сполетях	сполетеше	сполетеше	сполетяхме	сполетяхте	сполетяха	сполети	сполетете	-	сполетял	сполетяла	сполетяло	сполетели	сполетял	сполетяла	сполетяло	сполетели	-	-	-	-	сполетян	сполетяна	сполетяно	сполетени	-	-
спомня	спомня	спомниш	спомни	спомним	спомните	спомнят	спомних	спомни	спомни	спомнихме	спомнихте	спомниха	спомнех	спомнеше	спомнеше	спомнехме	спомнехте	спомнеха	спомни	спомнете	-	спомнил	спомнила	спомнило	спомнили	спомнел	спомнела	спомнело	спомнели	-	-	-	-	спомнен	спомнена	спомнено	спомнени	-	-
спомням	-	-	-	-	-	-	спомнях	спомня	спомня	спомняхме	спомняхте	спомняха	спомнях	спомняше	спомняше	спомняхме	спомняхте	спомняха	спомняи	спомняите	спомняики	спомнял	спомняла	спомняло	спомняли	спомнял	спомняла	спомняло	спомняли	спомнящ	спомняща	спомнящо	спомнящи	спомнян	спомняна	спомняно	спомняни	спомняне	спомнянета
спра	спра	спреш	спре	спрем	спрете	спрат	спрях	спря	спря	спряхме	спряхте	спряха	спрях	спреше	спреше	спряхме	спряхте	спряха	спри	спрете	-	спрял	спряла	спряло	спрели	спрял	спряла	спряло	спрели	-	-	-	-	спрян	спряна	спряно	спрени	-	-
сприятеля	сприятеля	сприятелиш	сприятели	сприятелим	сприятелите	сприятелят	сприятелих	сприятели	сприятели	сприятелихме	сприятелихте	сприятелиха	сприятелях	сприятелеше	сприятелеше	сприятеляхме	сприятеляхте	сприятеляха	сприятели	сприятелете	-	сприятелил	сприятелила	сприятелило	сприятелили	сприятелял	сприятеляла	сприятеляло	сприятелели	-	-	-	-	сприятелен	сприятелена	сприятелено	сприятелени	-	-
сприятелявам	-	-	-	-	-	-	сприятелявах	сприятелява	сприятелява	сприятелявахме	сприятелявахте	сприятеляваха	сприятелявах	сприятеляваше	сприятеляваше	сприятелявахме	сприятелявахте	сприятеляваха	сприятелявай	сприятелявайте	сприятелявайки	сприятелявал	сприятелявала	сприятелявало	сприятелявали	сприятелявал	сприятелявала	сприятелявало	сприятелявали	сприятеляващ	сприятеляваща	сприятеляващо	сприятеляващи	сприятеляван	сприятелявана	сприятелявано	сприятелявани	сприятеляване	сприятелявания-нета
